Gene,albidoflavus_J1074_R2,Sign
group_1164,MBMJMBDD_04152,+
group_1165,MBMJMBDD_04153,-
group_1166,MBMJMBDD_04193,+
group_1167,MBMJMBDD_04203,-
ydhP_3,MBMJMBDD_04205,+
group_1169,MBMJMBDD_04207,-
group_1170,MBMJMBDD_04208,+
group_1171,MBMJMBDD_04209,-
group_1172,MBMJMBDD_04222,-
group_1180,MBMJMBDD_04274,+
group_1181,MBMJMBDD_04275,-
mftR_2,MBMJMBDD_04291,-
group_1188,MBMJMBDD_04318,-
nagZ_3,MBMJMBDD_04327,-
hcrA,MBMJMBDD_00364,+
recD2_1,MBMJMBDD_04328,+
group_1192,MBMJMBDD_04340,+
group_1193,MBMJMBDD_04350,-
group_1194,MBMJMBDD_04351,+
group_1195,MBMJMBDD_04364,-
group_1196,MBMJMBDD_04368,+
group_1197,MBMJMBDD_04370,-
group_1198,MBMJMBDD_04375,-
group_1199,MBMJMBDD_04377,-
pknG,MBMJMBDD_04378,-
group_1201,MBMJMBDD_04395,+
group_1202,MBMJMBDD_04397,+
group_1203,MBMJMBDD_04407,+
group_1204,MBMJMBDD_04437,+
group_1206,MBMJMBDD_04438,+
rne,MBMJMBDD_04440,+
group_1208,MBMJMBDD_04451,+
group_1209,MBMJMBDD_04462,-
group_121,MBMJMBDD_00426,+
group_1210,MBMJMBDD_04467,+
nat_2,MBMJMBDD_04470,+
tri1_2,MBMJMBDD_04485,+
pknD_11,MBMJMBDD_04500,-
group_1214,MBMJMBDD_04519,+
gvpA_1,MBMJMBDD_04522,+
group_1217,MBMJMBDD_04525,+
group_1218,MBMJMBDD_04528,+
group_1220,MBMJMBDD_04550,-
group_1221,MBMJMBDD_04552,+
dcuS_2,MBMJMBDD_04578,+
group_1223,MBMJMBDD_04581,-
fabF,MBMJMBDD_04609,-
group_1226,MBMJMBDD_04615,-
yfeW_3,MBMJMBDD_04616,-
group_1228,MBMJMBDD_04617,+
group_1229,MBMJMBDD_04620,-
group_123,MBMJMBDD_00506,-
group_1230,MBMJMBDD_04648,+
group_1231,MBMJMBDD_04652,-
group_1232,MBMJMBDD_04655,+
group_1233,MBMJMBDD_04660,-
group_1234,MBMJMBDD_04666,-
group_1235,MBMJMBDD_04667,-
group_1236,MBMJMBDD_04671,+
group_1238,MBMJMBDD_04680,+
yjhP_2,MBMJMBDD_04696,-
iolU,MBMJMBDD_04702,-
bcr,MBMJMBDD_04703,+
group_1242,MBMJMBDD_04727,-
group_1243,MBMJMBDD_04731,+
group_1244,MBMJMBDD_04734,-
glnE,MBMJMBDD_04735,+
group_1248,MBMJMBDD_04738,+
group_1249,MBMJMBDD_04761,+
cobN,MBMJMBDD_04766,-
cobL,MBMJMBDD_04772,-
group_1253,MBMJMBDD_04776,-
arpA,MBMJMBDD_04780,+
group_1255,MBMJMBDD_04784,+
ywnH,MBMJMBDD_04790,-
group_1257,MBMJMBDD_04797,-
group_1258,MBMJMBDD_04819,-
csd_2,MBMJMBDD_04833,+
group_1260,MBMJMBDD_04838,-
group_1261,MBMJMBDD_04851,+
group_1264,MBMJMBDD_04882,-
group_1265,MBMJMBDD_04906,+
pknD_12,MBMJMBDD_04909,-
dnaE1,MBMJMBDD_04913,+
hisC_1,MBMJMBDD_04924,+
group_1270,MBMJMBDD_04929,+
group_1271,MBMJMBDD_04972,-
yokD,MBMJMBDD_04975,-
group_1273,MBMJMBDD_05003,+
uvrC,MBMJMBDD_05014,+
group_1275,MBMJMBDD_05016,+
egtE,MBMJMBDD_05055,+
group_1278,MBMJMBDD_05083,-
group_1279,MBMJMBDD_05100,-
ctaD_1,MBMJMBDD_00617,-
group_1280,MBMJMBDD_05112,+
queA,MBMJMBDD_05118,-
recN,MBMJMBDD_05142,+
group_1285,MBMJMBDD_05143,+
scpA,MBMJMBDD_05155,+
group_1287,MBMJMBDD_05161,-
group_1288,MBMJMBDD_05168,+
group_1289,MBMJMBDD_05173,-
group_1290,MBMJMBDD_05186,+
group_1291,MBMJMBDD_05188,+
mshD_4,MBMJMBDD_05196,-
group_1293,MBMJMBDD_05200,+
group_1294,MBMJMBDD_05201,+
group_1295,MBMJMBDD_05208,-
pknD_13,MBMJMBDD_05210,-
group_1297,MBMJMBDD_05218,+
tdh,MBMJMBDD_05220,+
group_130,MBMJMBDD_00781,-
aqdR,MBMJMBDD_05229,-
degA_3,MBMJMBDD_05287,-
helY,MBMJMBDD_05299,+
ncsB3_5,MBMJMBDD_05305,+
group_1306,MBMJMBDD_05324,+
group_1307,MBMJMBDD_05339,+
group_1308,MBMJMBDD_05340,+
group_1309,MBMJMBDD_05341,-
group_1310,MBMJMBDD_05342,+
group_1311,MBMJMBDD_05348,+
group_1312,MBMJMBDD_05363,-
group_1313,MBMJMBDD_05381,+
group_1314,MBMJMBDD_05392,+
group_1315,MBMJMBDD_05399,-
menF_2,MBMJMBDD_05410,+
group_1317,MBMJMBDD_05420,+
group_1318,MBMJMBDD_05486,+
group_1319,MBMJMBDD_05490,-
group_1320,MBMJMBDD_05492,+
group_1321,MBMJMBDD_05493,+
group_1322,MBMJMBDD_05499,-
gltC_3,MBMJMBDD_05500,-
group_1324,MBMJMBDD_05501,+
group_1325,MBMJMBDD_05506,-
hisC_2,MBMJMBDD_05529,+
group_1328,MBMJMBDD_05539,+
ptsJ,MBMJMBDD_05582,+
treC,MBMJMBDD_01034,-
petC,MBMJMBDD_05591,-
group_1331,MBMJMBDD_05592,+
group_1333,MBMJMBDD_05606,-
group_1335,MBMJMBDD_05622,-
group_1337,MBMJMBDD_05632,-
sigW,MBMJMBDD_05633,-
group_1339,MBMJMBDD_05642,-
group_134,MBMJMBDD_01351,-
phoD_2,MBMJMBDD_05646,-
mug,MBMJMBDD_05653,-
purB,MBMJMBDD_05654,-
group_1345,MBMJMBDD_05661,+
bioA,MBMJMBDD_05663,-
clpP2_3,MBMJMBDD_05670,-
group_1348,MBMJMBDD_05671,+
ureD_2,MBMJMBDD_05677,+
sttH,MBMJMBDD_05682,+
cdhR_6,MBMJMBDD_05683,+
dasA_4,MBMJMBDD_05709,+
group_1354,MBMJMBDD_05717,-
group_1355,MBMJMBDD_05724,+
gndA,MBMJMBDD_05741,-
group_1358,MBMJMBDD_05750,+
group_136,MBMJMBDD_01520,+
dasA_5,MBMJMBDD_05772,+
group_1361,MBMJMBDD_05777,+
lin,MBMJMBDD_05783,-
group_1364,MBMJMBDD_05784,-
crtB_2,MBMJMBDD_05789,+
group_1366,MBMJMBDD_05790,+
group_1368,MBMJMBDD_05805,-
group_1369,MBMJMBDD_05811,+
group_1370,MBMJMBDD_05812,+
group_1371,MBMJMBDD_05813,+
group_1374,MBMJMBDD_05820,-
vgb,MBMJMBDD_05840,+
group_1376,MBMJMBDD_05869,+
fpuB_2,MBMJMBDD_05873,+
group_1379,MBMJMBDD_05875,+
group_138,MBMJMBDD_01523,+
group_1380,MBMJMBDD_05876,+
group_1381,MBMJMBDD_05879,+
yheH,MBMJMBDD_05881,+
def_3,MBMJMBDD_05887,+
group_1384,MBMJMBDD_05891,+
otnK,MBMJMBDD_05896,+
group_1386,MBMJMBDD_05908,-
group_1387,MBMJMBDD_05910,-
group_1389,MBMJMBDD_05921,+
oppF_2,MBMJMBDD_05927,+
group_1391,MBMJMBDD_05929,-
group_1392,MBMJMBDD_05930,-
group_1395,MBMJMBDD_05940,+
group_1396,MBMJMBDD_05941,-
group_1397,MBMJMBDD_05943,-
group_1398,MBMJMBDD_05953,+
group_1399,MBMJMBDD_05956,+
group_140,MBMJMBDD_01532,-
per,MBMJMBDD_05970,-
group_1402,MBMJMBDD_05973,+
argP,MBMJMBDD_06017,+
group_142,MBMJMBDD_01866,-
ndhI_2,MBMJMBDD_03777,+
group_1431,MBMJMBDD_00074,-
aceE_1,MBMJMBDD_00839,-
group_1437,MBMJMBDD_01101,-
ureC_1,MBMJMBDD_01304,-
group_1439,MBMJMBDD_01589,-
lpqB,MBMJMBDD_01897,-
group_1440,MBMJMBDD_01881,-
group_1441,MBMJMBDD_02035,-
group_1443,MBMJMBDD_02287,-
group_1444,MBMJMBDD_02380,+
group_1445,MBMJMBDD_02483,+
group_1446,MBMJMBDD_03095,+
group_1447,MBMJMBDD_03330,-
group_1449,MBMJMBDD_03955,-
spk1,MBMJMBDD_04867,-
pknD_14,MBMJMBDD_05401,-
group_147,MBMJMBDD_01903,+
group_151,MBMJMBDD_02058,-
group_1519,MBMJMBDD_00025,-
group_152,MBMJMBDD_02221,+
fruA,MBMJMBDD_00029,+
group_1523,MBMJMBDD_00043,+
group_1524,MBMJMBDD_00045,-
rpmF_1,MBMJMBDD_00047,+
tam_1,MBMJMBDD_00048,-
group_1528,MBMJMBDD_00049,-
group_1529,MBMJMBDD_00050,+
group_1530,MBMJMBDD_00051,+
group_1531,MBMJMBDD_00052,+
bdhA,MBMJMBDD_00055,-
lnt_1,MBMJMBDD_00057,-
deaD_1,MBMJMBDD_00058,-
group_1535,MBMJMBDD_00059,-
murI,MBMJMBDD_00060,-
group_1537,MBMJMBDD_00062,+
group_1538,MBMJMBDD_00066,-
group_1539,MBMJMBDD_00068,-
eno_2,MBMJMBDD_02223,+
group_1540,MBMJMBDD_00069,+
group_1541,MBMJMBDD_00070,+
ybjJ_1,MBMJMBDD_00073,+
group_1543,MBMJMBDD_00077,-
argE,MBMJMBDD_00078,+
tdcB_1,MBMJMBDD_00079,-
group_1546,MBMJMBDD_00080,-
nanK_2,MBMJMBDD_00081,-
rutF,MBMJMBDD_00086,-
group_1549,MBMJMBDD_00087,-
group_1550,MBMJMBDD_00093,-
group_1551,MBMJMBDD_00094,+
group_1552,MBMJMBDD_00096,-
group_1553,MBMJMBDD_00099,+
gph_1,MBMJMBDD_00101,+
group_1556,MBMJMBDD_00102,-
group_1557,MBMJMBDD_00104,+
uacT,MBMJMBDD_00105,+
group_1559,MBMJMBDD_00106,-
group_156,MBMJMBDD_02280,-
group_1561,MBMJMBDD_00109,+
ctpI,MBMJMBDD_00115,+
hspA,MBMJMBDD_00116,+
ydeP,MBMJMBDD_00118,+
group_1566,MBMJMBDD_00127,-
group_1567,MBMJMBDD_00128,+
group_1568,MBMJMBDD_00129,-
hxpB,MBMJMBDD_00131,+
group_1570,MBMJMBDD_00132,-
csbC,MBMJMBDD_00138,+
bamB_1,MBMJMBDD_00140,-
group_1573,MBMJMBDD_00142,-
group_1574,MBMJMBDD_00155,+
ngcG_1,MBMJMBDD_00158,-
melD,MBMJMBDD_00159,-
group_1577,MBMJMBDD_00160,-
cytR_1,MBMJMBDD_00161,+
ssuC_1,MBMJMBDD_00163,+
btuD_12,MBMJMBDD_02333,-
group_1581,MBMJMBDD_00169,-
group_1582,MBMJMBDD_00172,-
group_1583,MBMJMBDD_00175,-
group_1584,MBMJMBDD_00182,-
group_1585,MBMJMBDD_00184,-
group_1586,MBMJMBDD_00185,+
group_1587,MBMJMBDD_00186,+
group_1588,MBMJMBDD_00188,-
rapA,MBMJMBDD_00189,+
group_1590,MBMJMBDD_00191,+
group_1593,MBMJMBDD_00196,-
group_1594,MBMJMBDD_00197,+
mycG_1,MBMJMBDD_00198,-
group_1596,MBMJMBDD_00204,+
sprA,MBMJMBDD_00208,-
group_1598,MBMJMBDD_00210,-
group_1599,MBMJMBDD_00211,+
abaF_2,MBMJMBDD_00214,-
benM,MBMJMBDD_00216,-
group_1602,MBMJMBDD_00221,+
group_1603,MBMJMBDD_00222,+
group_1604,MBMJMBDD_00223,+
uctC_1,MBMJMBDD_00224,+
group_1606,MBMJMBDD_00232,-
group_1607,MBMJMBDD_00233,-
group_1608,MBMJMBDD_00234,+
group_1609,MBMJMBDD_00240,+
group_1610,MBMJMBDD_00241,+
fas2,MBMJMBDD_00243,+
group_1612,MBMJMBDD_00245,-
group_1613,MBMJMBDD_00247,-
group_1614,MBMJMBDD_00248,+
group_1615,MBMJMBDD_00254,+
group_1616,MBMJMBDD_00255,-
group_1618,MBMJMBDD_00257,-
group_1619,MBMJMBDD_00258,-
group_162,MBMJMBDD_02780,+
group_1620,MBMJMBDD_00260,-
group_1621,MBMJMBDD_00261,-
group_1622,MBMJMBDD_00264,-
group_1623,MBMJMBDD_00266,-
hpnE,MBMJMBDD_00268,-
group_1625,MBMJMBDD_00274,-
group_1626,MBMJMBDD_00277,-
idi,MBMJMBDD_00279,+
group_1628,MBMJMBDD_00280,-
ettA_1,MBMJMBDD_00287,-
viaA,MBMJMBDD_00292,-
ravA,MBMJMBDD_00293,-
aao,MBMJMBDD_00294,+
betP_1,MBMJMBDD_00295,-
group_1635,MBMJMBDD_00296,+
nfi,MBMJMBDD_00302,-
group_1638,MBMJMBDD_00308,-
group_1639,MBMJMBDD_00309,+
stp_2,MBMJMBDD_03293,+
secDF,MBMJMBDD_00310,+
yheS_1,MBMJMBDD_00312,+
desA1,MBMJMBDD_00313,+
rbsR_2,MBMJMBDD_00318,-
caiD_2,MBMJMBDD_00333,-
group_1647,MBMJMBDD_00335,+
group_1648,MBMJMBDD_00336,-
group_1649,MBMJMBDD_00337,+
group_1650,MBMJMBDD_00344,+
lagD,MBMJMBDD_00347,+
aruI,MBMJMBDD_00354,-
bacC,MBMJMBDD_00355,-
ped,MBMJMBDD_00356,-
catD_1,MBMJMBDD_00358,-
group_1656,MBMJMBDD_00362,+
coxS,MBMJMBDD_00363,+
group_1658,MBMJMBDD_00367,+
rbsD,MBMJMBDD_00368,-
rbsK_1,MBMJMBDD_00369,-
group_1661,MBMJMBDD_00377,+
group_1662,MBMJMBDD_00384,-
group_1663,MBMJMBDD_00385,-
group_1664,MBMJMBDD_00386,-
group_1665,MBMJMBDD_00395,-
yhjX,MBMJMBDD_00396,-
group_1667,MBMJMBDD_00398,-
hdfR_1,MBMJMBDD_00399,+
group_1669,MBMJMBDD_00401,+
group_167,MBMJMBDD_03873,-
tam_2,MBMJMBDD_00403,-
COQ5_2,MBMJMBDD_00404,-
group_1672,MBMJMBDD_00406,-
group_1673,MBMJMBDD_00407,+
group_1674,MBMJMBDD_00408,+
narY,MBMJMBDD_00411,+
narX,MBMJMBDD_00413,+
group_1677,MBMJMBDD_00417,-
group_1678,MBMJMBDD_00418,+
group_1679,MBMJMBDD_00419,+
group_168,MBMJMBDD_03393,-
yhbO,MBMJMBDD_00422,+
group_1682,MBMJMBDD_00423,-
yegS_1,MBMJMBDD_00424,+
COQ5_3,MBMJMBDD_00425,+
betI_1,MBMJMBDD_00428,+
group_1686,MBMJMBDD_00432,-
rimJ_1,MBMJMBDD_00433,-
group_1688,MBMJMBDD_00434,-
group_1689,MBMJMBDD_00435,-
ykfA,MBMJMBDD_00437,-
group_1691,MBMJMBDD_00438,-
dapE_1,MBMJMBDD_00439,-
mdtD_2,MBMJMBDD_00441,-
group_1694,MBMJMBDD_00443,+
tap_1,MBMJMBDD_00444,+
nimR_1,MBMJMBDD_00446,+
group_1697,MBMJMBDD_00447,+
yfhA_1,MBMJMBDD_00449,+
yusV,MBMJMBDD_00450,+
group_170,MBMJMBDD_03421,+
group_1700,MBMJMBDD_00452,+
garK_1,MBMJMBDD_00460,-
cobB_1,MBMJMBDD_00463,+
group_1703,MBMJMBDD_00465,-
group_1704,MBMJMBDD_00466,+
btuD_3,MBMJMBDD_00467,+
group_1706,MBMJMBDD_00468,+
ytrA_1,MBMJMBDD_00469,+
alkA,MBMJMBDD_00471,-
trpA_1,MBMJMBDD_00472,+
group_1711,MBMJMBDD_00474,-
ymdB,MBMJMBDD_00475,-
thi4,MBMJMBDD_00476,-
ywrD,MBMJMBDD_00479,-
fgd_1,MBMJMBDD_00482,-
group_1716,MBMJMBDD_00488,+
group_1717,MBMJMBDD_00492,-
group_1718,MBMJMBDD_00493,+
group_1719,MBMJMBDD_00495,-
group_172,MBMJMBDD_03423,+
glnH_1,MBMJMBDD_00497,-
group_1721,MBMJMBDD_00499,-
group_1722,MBMJMBDD_00500,+
xthA,MBMJMBDD_00501,-
group_1724,MBMJMBDD_00503,-
group_1726,MBMJMBDD_00509,-
group_1727,MBMJMBDD_00510,+
lacZ_1,MBMJMBDD_00514,-
ftsH_1,MBMJMBDD_00530,+
group_1731,MBMJMBDD_00531,-
group_1732,MBMJMBDD_00533,+
group_1735,MBMJMBDD_00540,+
group_1736,MBMJMBDD_00541,+
group_1737,MBMJMBDD_00546,+
group_1738,MBMJMBDD_00549,-
group_1739,MBMJMBDD_00550,-
lgrB_3,MBMJMBDD_03547,-
iolG_2,MBMJMBDD_00556,+
pikC_1,MBMJMBDD_00557,-
vraR_1,MBMJMBDD_00559,-
group_1743,MBMJMBDD_00560,-
allB,MBMJMBDD_00563,-
group_1745,MBMJMBDD_00565,-
nboR,MBMJMBDD_00566,+
paoC_2,MBMJMBDD_00567,-
paoB_2,MBMJMBDD_00568,-
paoA_2,MBMJMBDD_00569,-
group_1751,MBMJMBDD_00614,+
group_1752,MBMJMBDD_00615,-
group_1753,MBMJMBDD_00616,-
levB,MBMJMBDD_00618,-
rbsR_3,MBMJMBDD_00619,-
group_1756,MBMJMBDD_00621,+
sacA,MBMJMBDD_00623,-
cscB,MBMJMBDD_00624,+
scrK,MBMJMBDD_00625,+
pucL,MBMJMBDD_00635,-
group_1761,MBMJMBDD_00636,-
hyi,MBMJMBDD_00638,+
garR_1,MBMJMBDD_00639,+
group_1764,MBMJMBDD_00642,+
mftR_1,MBMJMBDD_00647,+
group_1767,MBMJMBDD_00650,+
group_1769,MBMJMBDD_00653,-
pucA,MBMJMBDD_00654,-
group_1771,MBMJMBDD_00659,+
group_1772,MBMJMBDD_00661,+
group_1773,MBMJMBDD_00663,+
group_1774,MBMJMBDD_00664,+
group_1775,MBMJMBDD_00667,-
group_1776,MBMJMBDD_00670,+
ogt_2,MBMJMBDD_00672,-
rsgA_1,MBMJMBDD_00673,-
group_1779,MBMJMBDD_00674,+
group_1780,MBMJMBDD_00676,-
rpoE,MBMJMBDD_00683,-
group_1783,MBMJMBDD_00684,+
phrB_1,MBMJMBDD_00686,-
btuC_1,MBMJMBDD_00691,+
fepC_2,MBMJMBDD_00692,+
group_1787,MBMJMBDD_00693,+
group_1788,MBMJMBDD_00694,-
group_1789,MBMJMBDD_00696,-
group_1790,MBMJMBDD_00697,+
mmuM,MBMJMBDD_00699,+
group_1792,MBMJMBDD_00702,-
aidB_2,MBMJMBDD_00703,+
ccr_1,MBMJMBDD_00705,-
group_1795,MBMJMBDD_00709,+
group_1796,MBMJMBDD_00711,+
cysH,MBMJMBDD_00712,+
cysC,MBMJMBDD_00713,+
cbiX,MBMJMBDD_00720,+
tam_3,MBMJMBDD_00721,+
group_1801,MBMJMBDD_00726,-
group_1802,MBMJMBDD_00727,+
group_1803,MBMJMBDD_00736,+
group_1804,MBMJMBDD_00737,+
murC,MBMJMBDD_00743,-
group_1806,MBMJMBDD_00753,+
group_1807,MBMJMBDD_00754,+
group_1808,MBMJMBDD_00755,+
hemY,MBMJMBDD_00758,-
group_1810,MBMJMBDD_00763,+
group_1811,MBMJMBDD_00767,+
ngcG_2,MBMJMBDD_00776,-
acnA,MBMJMBDD_00779,-
group_1814,MBMJMBDD_00793,-
group_1816,MBMJMBDD_00799,-
group_1817,MBMJMBDD_00801,-
arcA_1,MBMJMBDD_00802,+
group_1819,MBMJMBDD_00805,-
sasA_7,MBMJMBDD_04090,-
ndhB_1,MBMJMBDD_00808,-
ncsB3_1,MBMJMBDD_00809,-
group_1822,MBMJMBDD_00811,-
group_1823,MBMJMBDD_00812,-
group_1824,MBMJMBDD_00814,-
group_1825,MBMJMBDD_00815,+
argF,MBMJMBDD_00817,-
apaH,MBMJMBDD_00822,-
COQ3_1,MBMJMBDD_00823,-
group_1830,MBMJMBDD_00827,-
group_1831,MBMJMBDD_00828,-
group_1832,MBMJMBDD_00830,+
xpkA,MBMJMBDD_00831,-
group_1834,MBMJMBDD_00832,-
group_1835,MBMJMBDD_00833,-
lutC,MBMJMBDD_00834,-
group_1837,MBMJMBDD_00841,+
group_1838,MBMJMBDD_00842,+
group_1839,MBMJMBDD_00843,-
group_184,MBMJMBDD_04200,+
devS,MBMJMBDD_00846,-
group_1841,MBMJMBDD_00848,+
bmr3_1,MBMJMBDD_00851,+
yfhA_2,MBMJMBDD_00853,-
sutR_1,MBMJMBDD_00858,-
nylA_1,MBMJMBDD_00864,-
group_1847,MBMJMBDD_00865,+
cypM,MBMJMBDD_00866,-
group_1849,MBMJMBDD_00867,-
metXA,MBMJMBDD_00868,-
group_1851,MBMJMBDD_00870,+
yagG,MBMJMBDD_00872,-
group_1853,MBMJMBDD_00873,+
group_1854,MBMJMBDD_00874,+
group_1855,MBMJMBDD_00876,-
group_1856,MBMJMBDD_00878,-
group_1857,MBMJMBDD_00879,-
group_1858,MBMJMBDD_00880,+
group_1859,MBMJMBDD_00882,-
group_186,MBMJMBDD_04468,-
tet(X)_1,MBMJMBDD_00888,-
group_1861,MBMJMBDD_00891,+
group_1862,MBMJMBDD_00893,-
ybjJ_2,MBMJMBDD_00896,+
group_1864,MBMJMBDD_00898,-
group_1865,MBMJMBDD_00899,-
rbsC_2,MBMJMBDD_00900,-
ansA,MBMJMBDD_00904,+
linC_1,MBMJMBDD_00906,-
group_1870,MBMJMBDD_00914,-
group_1871,MBMJMBDD_00916,+
group_1872,MBMJMBDD_00918,+
leuB_1,MBMJMBDD_00921,-
group_1874,MBMJMBDD_00923,+
ytbE,MBMJMBDD_00924,+
group_1876,MBMJMBDD_00926,-
group_1877,MBMJMBDD_00927,-
group_1878,MBMJMBDD_00929,-
group_1879,MBMJMBDD_00931,-
yddE,MBMJMBDD_04697,-
group_1880,MBMJMBDD_00932,-
group_1881,MBMJMBDD_00939,+
group_1882,MBMJMBDD_00943,+
fgd_3,MBMJMBDD_00954,-
group_1885,MBMJMBDD_00955,-
tadA_1,MBMJMBDD_00958,+
lieA,MBMJMBDD_00959,+
group_1888,MBMJMBDD_00974,+
group_1890,MBMJMBDD_00978,-
group_1891,MBMJMBDD_01009,+
group_1892,MBMJMBDD_01010,-
sasA_1,MBMJMBDD_01012,-
tcrA,MBMJMBDD_01013,-
hemH,MBMJMBDD_01016,-
group_1896,MBMJMBDD_01018,+
group_1897,MBMJMBDD_01019,-
sseB,MBMJMBDD_01021,-
group_1899,MBMJMBDD_01022,+
araP_1,MBMJMBDD_01036,-
group_1901,MBMJMBDD_01037,-
group_1902,MBMJMBDD_01039,+
mctC_1,MBMJMBDD_01040,-
group_1904,MBMJMBDD_01041,-
group_1905,MBMJMBDD_01042,-
group_1906,MBMJMBDD_01043,-
group_1907,MBMJMBDD_01046,-
group_1908,MBMJMBDD_01050,-
