Gene,albidoflavus_SM254,Sign
bcr,NDLJOBPC_04839,+
group_1242,NDLJOBPC_04863,-
group_1243,NDLJOBPC_04869,+
group_1244,NDLJOBPC_04872,-
glnE,NDLJOBPC_04873,+
group_1248,NDLJOBPC_04876,+
group_1249,NDLJOBPC_04899,+
cobN,NDLJOBPC_04904,-
cobL,NDLJOBPC_04910,-
group_1253,NDLJOBPC_04914,-
arpA,NDLJOBPC_04918,+
group_1255,NDLJOBPC_04921,+
ywnH,NDLJOBPC_04927,-
group_1257,NDLJOBPC_04934,-
group_1258,NDLJOBPC_04956,-
csd_2,NDLJOBPC_04970,+
group_1260,NDLJOBPC_04975,-
group_1261,NDLJOBPC_04988,+
group_1264,NDLJOBPC_05019,-
group_1265,NDLJOBPC_05043,+
pknD_12,NDLJOBPC_05046,-
dnaE1,NDLJOBPC_05052,+
hisC_1,NDLJOBPC_05063,+
group_1270,NDLJOBPC_05068,+
group_1271,NDLJOBPC_05110,-
yokD,NDLJOBPC_05113,-
group_1273,NDLJOBPC_05140,+
uvrC,NDLJOBPC_05151,+
group_1275,NDLJOBPC_05153,+
egtE,NDLJOBPC_05192,+
group_1278,NDLJOBPC_05219,-
group_1279,NDLJOBPC_05236,-
ctaD_1,NDLJOBPC_00841,-
group_1280,NDLJOBPC_05248,+
queA,NDLJOBPC_05254,-
recN,NDLJOBPC_05278,+
group_1285,NDLJOBPC_05279,+
scpA,NDLJOBPC_05291,+
group_1287,NDLJOBPC_05297,-
group_1288,NDLJOBPC_05304,+
group_1289,NDLJOBPC_05309,-
group_1290,NDLJOBPC_05322,+
group_1291,NDLJOBPC_05324,+
mshD_4,NDLJOBPC_05332,-
group_1293,NDLJOBPC_05339,+
group_1294,NDLJOBPC_05340,+
group_1295,NDLJOBPC_05347,-
pknD_13,NDLJOBPC_05349,-
group_1297,NDLJOBPC_05357,+
tdh,NDLJOBPC_05359,+
group_130,NDLJOBPC_01010,-
aqdR,NDLJOBPC_05368,-
degA_3,NDLJOBPC_05426,-
helY,NDLJOBPC_05438,+
ncsB3_5,NDLJOBPC_05444,+
group_1306,NDLJOBPC_05463,+
group_1307,NDLJOBPC_05478,+
group_1308,NDLJOBPC_05479,+
group_1309,NDLJOBPC_05480,-
group_1310,NDLJOBPC_05481,+
group_1311,NDLJOBPC_05487,+
group_1312,NDLJOBPC_05502,-
group_1313,NDLJOBPC_05520,+
group_1314,NDLJOBPC_05531,+
group_1315,NDLJOBPC_05538,-
menF_2,NDLJOBPC_05549,+
group_1317,NDLJOBPC_05559,+
group_1318,NDLJOBPC_05625,+
group_1319,NDLJOBPC_05629,-
group_1320,NDLJOBPC_05630,+
group_1321,NDLJOBPC_05631,+
group_1322,NDLJOBPC_05637,-
gltC_3,NDLJOBPC_05638,-
group_1324,NDLJOBPC_05639,+
group_1325,NDLJOBPC_05644,-
hisC_2,NDLJOBPC_05667,+
group_1328,NDLJOBPC_05677,+
ptsJ,NDLJOBPC_05721,+
treC,NDLJOBPC_01267,-
petC,NDLJOBPC_05730,-
group_1331,NDLJOBPC_05731,+
group_1333,NDLJOBPC_05746,-
group_1335,NDLJOBPC_05761,-
group_1337,NDLJOBPC_05771,-
sigW,NDLJOBPC_05772,-
group_1339,NDLJOBPC_05780,-
group_134,NDLJOBPC_01594,-
phoD_2,NDLJOBPC_05784,-
mug,NDLJOBPC_05791,-
purB,NDLJOBPC_05792,-
group_1345,NDLJOBPC_05799,+
bioA,NDLJOBPC_05801,-
clpP2_3,NDLJOBPC_05808,-
group_1348,NDLJOBPC_05809,+
ureD_2,NDLJOBPC_05815,+
sttH,NDLJOBPC_05820,+
cdhR_6,NDLJOBPC_05821,+
dasA_4,NDLJOBPC_05941,+
group_1354,NDLJOBPC_05949,-
group_1355,NDLJOBPC_05956,+
gndA,NDLJOBPC_05973,-
group_1358,NDLJOBPC_05982,+
group_136,NDLJOBPC_01763,+
dasA_5,NDLJOBPC_06003,+
group_1361,NDLJOBPC_06008,+
lin,NDLJOBPC_06014,-
group_1364,NDLJOBPC_06015,-
crtB_2,NDLJOBPC_06020,+
group_1366,NDLJOBPC_06021,+
group_1368,NDLJOBPC_06036,-
group_1369,NDLJOBPC_06042,+
group_1370,NDLJOBPC_06043,+
group_1371,NDLJOBPC_06044,+
group_1374,NDLJOBPC_06052,-
vgb,NDLJOBPC_06072,+
group_1376,NDLJOBPC_06109,+
fpuB_2,NDLJOBPC_06113,+
group_1379,NDLJOBPC_06115,+
group_138,NDLJOBPC_01766,+
group_1380,NDLJOBPC_06116,+
group_1381,NDLJOBPC_06119,+
yheH,NDLJOBPC_06121,+
def_3,NDLJOBPC_06127,+
group_1384,NDLJOBPC_06131,+
otnK,NDLJOBPC_06143,+
group_1386,NDLJOBPC_06155,-
group_1387,NDLJOBPC_06157,-
group_1389,NDLJOBPC_06168,+
oppF_2,NDLJOBPC_06174,+
group_1391,NDLJOBPC_06176,-
group_1392,NDLJOBPC_06177,-
group_1395,NDLJOBPC_06186,+
group_1396,NDLJOBPC_06187,-
group_1397,NDLJOBPC_06189,-
group_1398,NDLJOBPC_06199,+
group_1399,NDLJOBPC_06202,+
group_140,NDLJOBPC_01775,-
per,NDLJOBPC_06216,-
group_1402,NDLJOBPC_06219,+
argP,NDLJOBPC_06264,+
group_142,NDLJOBPC_02103,-
ndhI_2,NDLJOBPC_03845,+
group_1431,NDLJOBPC_00333,-
aceE_1,NDLJOBPC_01061,-
group_1437,NDLJOBPC_01334,-
ureC_1,NDLJOBPC_01547,-
group_1439,NDLJOBPC_01832,-
lpqB,NDLJOBPC_02139,-
group_1440,NDLJOBPC_02122,-
group_1441,NDLJOBPC_02277,-
group_1443,NDLJOBPC_02519,-
group_1444,NDLJOBPC_02611,+
group_1445,NDLJOBPC_02711,+
group_1446,NDLJOBPC_03226,+
group_1447,NDLJOBPC_03411,-
group_1449,NDLJOBPC_04053,-
spk1,NDLJOBPC_05004,-
pknD_14,NDLJOBPC_05540,-
group_147,NDLJOBPC_02145,+
group_151,NDLJOBPC_02302,-
group_1519,NDLJOBPC_00293,-
group_152,NDLJOBPC_02452,+
fruA,NDLJOBPC_00296,+
group_1523,NDLJOBPC_00302,+
group_1524,NDLJOBPC_00304,-
rpmF_1,NDLJOBPC_00306,+
tam_1,NDLJOBPC_00307,-
group_1528,NDLJOBPC_00308,-
group_1529,NDLJOBPC_00309,+
group_1530,NDLJOBPC_00310,+
group_1531,NDLJOBPC_00311,+
bdhA,NDLJOBPC_00314,-
lnt_1,NDLJOBPC_00316,-
deaD_1,NDLJOBPC_00317,-
group_1535,NDLJOBPC_00318,-
murI,NDLJOBPC_00319,-
group_1537,NDLJOBPC_00321,+
group_1538,NDLJOBPC_00325,-
group_1539,NDLJOBPC_00327,-
eno_2,NDLJOBPC_02454,+
group_1540,NDLJOBPC_00328,+
group_1541,NDLJOBPC_00329,+
ybjJ_1,NDLJOBPC_00332,+
group_1543,NDLJOBPC_00336,-
argE,NDLJOBPC_00337,+
tdcB_1,NDLJOBPC_00338,-
group_1546,NDLJOBPC_00339,-
nanK_2,NDLJOBPC_00340,-
rutF,NDLJOBPC_00345,-
group_1549,NDLJOBPC_00346,-
group_1550,NDLJOBPC_00352,-
group_1551,NDLJOBPC_00353,+
group_1552,NDLJOBPC_00355,-
group_1553,NDLJOBPC_00358,+
gph_1,NDLJOBPC_00360,+
group_1556,NDLJOBPC_00361,-
group_1557,NDLJOBPC_00363,+
uacT,NDLJOBPC_00364,+
group_1559,NDLJOBPC_00365,-
group_156,NDLJOBPC_02513,-
group_1561,NDLJOBPC_00368,+
ctpI,NDLJOBPC_00374,+
hspA,NDLJOBPC_00375,+
ydeP,NDLJOBPC_00377,+
group_1566,NDLJOBPC_00386,-
group_1567,NDLJOBPC_00387,+
group_1568,NDLJOBPC_00388,-
hxpB,NDLJOBPC_00390,+
group_1570,NDLJOBPC_00391,-
csbC,NDLJOBPC_00397,+
bamB_1,NDLJOBPC_00399,-
group_1573,NDLJOBPC_00401,-
group_1574,NDLJOBPC_00414,+
ngcG_1,NDLJOBPC_00417,-
melD,NDLJOBPC_00418,-
group_1577,NDLJOBPC_00419,-
cytR_1,NDLJOBPC_00420,+
ssuC_1,NDLJOBPC_00422,+
btuD_12,NDLJOBPC_02565,-
group_1581,NDLJOBPC_00428,-
group_1582,NDLJOBPC_00431,-
group_1583,NDLJOBPC_00434,-
group_1584,NDLJOBPC_00441,-
group_1585,NDLJOBPC_00443,-
group_1586,NDLJOBPC_00444,+
group_1587,NDLJOBPC_00445,+
group_1588,NDLJOBPC_00447,-
rapA,NDLJOBPC_00448,+
group_1590,NDLJOBPC_00450,+
group_1593,NDLJOBPC_00455,-
group_1594,NDLJOBPC_00456,+
mycG_1,NDLJOBPC_00457,-
group_1596,NDLJOBPC_00463,+
sprA,NDLJOBPC_00467,-
group_1598,NDLJOBPC_00469,-
group_1599,NDLJOBPC_00470,+
abaF_2,NDLJOBPC_00473,-
benM,NDLJOBPC_00475,-
group_1602,NDLJOBPC_00480,+
group_1603,NDLJOBPC_00481,+
group_1604,NDLJOBPC_00482,+
uctC_1,NDLJOBPC_00483,+
group_1606,NDLJOBPC_00491,-
group_1607,NDLJOBPC_00492,-
group_1608,NDLJOBPC_00493,+
group_1609,NDLJOBPC_00499,+
group_1610,NDLJOBPC_00500,+
fas2,NDLJOBPC_00502,+
group_1612,NDLJOBPC_00504,-
group_1613,NDLJOBPC_00506,-
group_1614,NDLJOBPC_00507,+
group_1615,NDLJOBPC_00513,+
group_1616,NDLJOBPC_00514,-
group_1618,NDLJOBPC_00515,-
group_1619,NDLJOBPC_00516,-
group_162,NDLJOBPC_02972,+
group_1620,NDLJOBPC_00518,-
group_1621,NDLJOBPC_00519,-
group_1622,NDLJOBPC_00522,-
group_1623,NDLJOBPC_00524,-
hpnE,NDLJOBPC_00526,-
group_1625,NDLJOBPC_00532,-
group_1626,NDLJOBPC_00535,-
idi,NDLJOBPC_00537,+
group_1628,NDLJOBPC_00538,-
ettA_1,NDLJOBPC_00545,-
viaA,NDLJOBPC_00550,-
ravA,NDLJOBPC_00551,-
aao,NDLJOBPC_00552,+
betP_1,NDLJOBPC_00553,-
group_1635,NDLJOBPC_00554,+
nfi,NDLJOBPC_00560,-
group_1638,NDLJOBPC_00566,-
group_1639,NDLJOBPC_00567,+
stp_2,NDLJOBPC_03375,+
secDF,NDLJOBPC_00568,+
yheS_1,NDLJOBPC_00570,+
desA1,NDLJOBPC_00571,+
rbsR_2,NDLJOBPC_00576,-
caiD_2,NDLJOBPC_00591,-
group_1647,NDLJOBPC_00593,+
group_1648,NDLJOBPC_00594,-
group_1649,NDLJOBPC_00595,+
group_1650,NDLJOBPC_00602,+
lagD,NDLJOBPC_00605,+
aruI,NDLJOBPC_00612,-
bacC,NDLJOBPC_00613,-
ped,NDLJOBPC_00614,-
catD_1,NDLJOBPC_00616,-
group_1656,NDLJOBPC_00620,+
coxS,NDLJOBPC_00621,+
group_1658,NDLJOBPC_00625,+
rbsD,NDLJOBPC_00626,-
rbsK_1,NDLJOBPC_00627,-
group_1661,NDLJOBPC_00636,+
group_1662,NDLJOBPC_00643,-
group_1663,NDLJOBPC_00644,-
group_1664,NDLJOBPC_00645,-
group_1665,NDLJOBPC_00654,-
yhjX,NDLJOBPC_00655,-
group_1667,NDLJOBPC_00657,-
hdfR_1,NDLJOBPC_00658,+
group_1669,NDLJOBPC_00660,+
group_167,NDLJOBPC_03958,-
tam_2,NDLJOBPC_00662,-
COQ5_2,NDLJOBPC_00663,-
group_1672,NDLJOBPC_00665,-
group_1673,NDLJOBPC_00666,+
group_1674,NDLJOBPC_00667,+
narY,NDLJOBPC_00670,+
narX,NDLJOBPC_00672,+
group_1677,NDLJOBPC_00677,-
group_1678,NDLJOBPC_00678,+
group_1679,NDLJOBPC_00679,+
group_168,NDLJOBPC_03475,-
yhbO,NDLJOBPC_00684,+
group_1682,NDLJOBPC_00685,-
yegS_1,NDLJOBPC_00686,+
COQ5_3,NDLJOBPC_00687,+
betI_1,NDLJOBPC_00690,+
group_1686,NDLJOBPC_00694,-
rimJ_1,NDLJOBPC_00695,-
group_1688,NDLJOBPC_00696,-
group_1689,NDLJOBPC_00697,-
ykfA,NDLJOBPC_00699,-
group_1691,NDLJOBPC_00700,-
dapE_1,NDLJOBPC_00701,-
mdtD_2,NDLJOBPC_00703,-
group_1694,NDLJOBPC_00705,+
tap_1,NDLJOBPC_00710,+
nimR_1,NDLJOBPC_00712,+
group_1697,NDLJOBPC_00713,+
yfhA_1,NDLJOBPC_00715,+
yusV,NDLJOBPC_00716,+
group_170,NDLJOBPC_03506,+
group_1700,NDLJOBPC_00718,+
garK_1,NDLJOBPC_00726,-
cobB_1,NDLJOBPC_00729,+
group_1703,NDLJOBPC_00731,-
group_1704,NDLJOBPC_00732,+
btuD_3,NDLJOBPC_00733,+
group_1706,NDLJOBPC_00734,+
ytrA_1,NDLJOBPC_00735,+
alkA,NDLJOBPC_00737,-
trpA_1,NDLJOBPC_00738,+
group_1711,NDLJOBPC_00740,-
ymdB,NDLJOBPC_00741,-
thi4,NDLJOBPC_00742,-
ywrD,NDLJOBPC_00745,-
fgd_1,NDLJOBPC_00748,-
group_1716,NDLJOBPC_00754,+
group_1717,NDLJOBPC_00758,-
group_1718,NDLJOBPC_00759,+
group_1719,NDLJOBPC_00761,-
group_172,NDLJOBPC_03508,+
glnH_1,NDLJOBPC_00763,-
group_1721,NDLJOBPC_00765,-
group_1722,NDLJOBPC_00766,+
xthA,NDLJOBPC_00767,-
group_1724,NDLJOBPC_00769,-
group_1726,NDLJOBPC_00775,-
group_1727,NDLJOBPC_00776,+
lacZ_1,NDLJOBPC_00780,-
ftsH_1,NDLJOBPC_00796,+
group_1731,NDLJOBPC_00797,-
group_1732,NDLJOBPC_00799,+
group_1735,NDLJOBPC_00806,+
group_1736,NDLJOBPC_00807,+
group_1737,NDLJOBPC_00812,+
group_1738,NDLJOBPC_00815,-
group_1739,NDLJOBPC_00816,-
lgrB_3,NDLJOBPC_03621,-
iolG_2,NDLJOBPC_00822,+
pikC_1,NDLJOBPC_00823,-
vraR_1,NDLJOBPC_00825,-
group_1743,NDLJOBPC_00826,-
allB,NDLJOBPC_00829,-
group_1745,NDLJOBPC_00831,-
nboR,NDLJOBPC_00832,+
paoC_2,NDLJOBPC_00833,-
paoB_2,NDLJOBPC_00834,-
paoA_2,NDLJOBPC_00835,-
group_1751,NDLJOBPC_00838,+
group_1752,NDLJOBPC_00839,-
group_1753,NDLJOBPC_00840,-
levB,NDLJOBPC_00842,-
rbsR_3,NDLJOBPC_00843,-
group_1756,NDLJOBPC_00845,+
sacA,NDLJOBPC_00847,-
cscB,NDLJOBPC_00848,+
scrK,NDLJOBPC_00849,+
pucL,NDLJOBPC_00861,-
group_1761,NDLJOBPC_00862,-
hyi,NDLJOBPC_00864,+
garR_1,NDLJOBPC_00865,+
group_1764,NDLJOBPC_00868,+
mftR_1,NDLJOBPC_00873,+
group_1767,NDLJOBPC_00876,+
group_1769,NDLJOBPC_00879,-
pucA,NDLJOBPC_00880,-
group_1771,NDLJOBPC_00885,+
group_1772,NDLJOBPC_00887,+
group_1773,NDLJOBPC_00889,+
group_1774,NDLJOBPC_00890,+
group_1775,NDLJOBPC_00893,-
group_1776,NDLJOBPC_00896,+
ogt_2,NDLJOBPC_00898,-
rsgA_1,NDLJOBPC_00899,-
group_1779,NDLJOBPC_00900,+
group_1780,NDLJOBPC_00902,-
rpoE,NDLJOBPC_00910,-
group_1783,NDLJOBPC_00911,+
phrB_1,NDLJOBPC_00913,-
btuC_1,NDLJOBPC_00918,+
fepC_2,NDLJOBPC_00919,+
group_1787,NDLJOBPC_00920,+
group_1788,NDLJOBPC_00921,-
group_1789,NDLJOBPC_00923,-
group_1790,NDLJOBPC_00924,+
mmuM,NDLJOBPC_00926,+
group_1792,NDLJOBPC_00929,-
aidB_2,NDLJOBPC_00930,+
ccr_1,NDLJOBPC_00931,-
group_1795,NDLJOBPC_00935,+
group_1796,NDLJOBPC_00937,+
cysH,NDLJOBPC_00938,+
cysC,NDLJOBPC_00939,+
cbiX,NDLJOBPC_00946,+
tam_3,NDLJOBPC_00947,+
group_1801,NDLJOBPC_00952,-
group_1802,NDLJOBPC_00953,+
group_1803,NDLJOBPC_00962,+
group_1804,NDLJOBPC_00963,+
murC,NDLJOBPC_00969,-
group_1806,NDLJOBPC_00977,+
group_1807,NDLJOBPC_00978,+
group_1808,NDLJOBPC_00979,+
hemY,NDLJOBPC_00982,-
group_1810,NDLJOBPC_00987,+
group_1811,NDLJOBPC_00991,+
ngcG_2,NDLJOBPC_01000,-
acnA,NDLJOBPC_01003,-
group_1814,NDLJOBPC_01015,-
group_1816,NDLJOBPC_01021,-
group_1817,NDLJOBPC_01023,-
arcA_1,NDLJOBPC_01024,+
group_1819,NDLJOBPC_01027,-
sasA_7,NDLJOBPC_04189,-
ndhB_1,NDLJOBPC_01030,-
ncsB3_1,NDLJOBPC_01031,-
group_1822,NDLJOBPC_01033,-
group_1823,NDLJOBPC_01034,-
group_1824,NDLJOBPC_01036,-
group_1825,NDLJOBPC_01037,+
argF,NDLJOBPC_01039,-
apaH,NDLJOBPC_01044,-
COQ3_1,NDLJOBPC_01045,-
group_1830,NDLJOBPC_01049,-
group_1831,NDLJOBPC_01050,-
group_1832,NDLJOBPC_01052,+
xpkA,NDLJOBPC_01053,-
group_1834,NDLJOBPC_01054,-
group_1835,NDLJOBPC_01055,-
lutC,NDLJOBPC_01056,-
group_1837,NDLJOBPC_01063,+
group_1838,NDLJOBPC_01064,+
group_1839,NDLJOBPC_01065,-
group_184,NDLJOBPC_04303,+
devS,NDLJOBPC_01068,-
group_1841,NDLJOBPC_01070,+
bmr3_1,NDLJOBPC_01073,+
yfhA_2,NDLJOBPC_01075,-
sutR_1,NDLJOBPC_01080,-
nylA_1,NDLJOBPC_01086,-
group_1847,NDLJOBPC_01087,+
cypM,NDLJOBPC_01088,-
group_1849,NDLJOBPC_01089,-
metXA,NDLJOBPC_01090,-
group_1851,NDLJOBPC_01092,+
yagG,NDLJOBPC_01094,-
group_1853,NDLJOBPC_01095,+
group_1854,NDLJOBPC_01096,+
group_1855,NDLJOBPC_01098,-
group_1856,NDLJOBPC_01100,-
group_1857,NDLJOBPC_01101,-
group_1858,NDLJOBPC_01102,+
group_1859,NDLJOBPC_01104,-
group_186,NDLJOBPC_04581,-
tet(X)_1,NDLJOBPC_01110,-
group_1861,NDLJOBPC_01113,+
group_1862,NDLJOBPC_01115,-
ybjJ_2,NDLJOBPC_01118,+
group_1864,NDLJOBPC_01120,-
group_1865,NDLJOBPC_01121,-
rbsC_2,NDLJOBPC_01122,-
ansA,NDLJOBPC_01126,+
linC_1,NDLJOBPC_01128,-
group_1870,NDLJOBPC_01136,-
group_1871,NDLJOBPC_01138,+
group_1872,NDLJOBPC_01140,+
leuB_1,NDLJOBPC_01143,-
group_1874,NDLJOBPC_01145,+
ytbE,NDLJOBPC_01146,+
group_1876,NDLJOBPC_01148,-
group_1877,NDLJOBPC_01149,-
group_1878,NDLJOBPC_01151,-
group_1879,NDLJOBPC_01153,-
yddE,NDLJOBPC_04833,-
group_1880,NDLJOBPC_01154,-
group_1881,NDLJOBPC_01161,+
group_1882,NDLJOBPC_01165,+
fgd_3,NDLJOBPC_01168,-
group_1885,NDLJOBPC_01171,-
tadA_1,NDLJOBPC_01175,+
lieA,NDLJOBPC_01176,+
group_1888,NDLJOBPC_01191,+
group_1890,NDLJOBPC_01195,-
group_1891,NDLJOBPC_01243,+
group_1892,NDLJOBPC_01244,-
sasA_1,NDLJOBPC_01246,-
tcrA,NDLJOBPC_01247,-
hemH,NDLJOBPC_01250,-
group_1896,NDLJOBPC_01252,+
group_1897,NDLJOBPC_01253,-
sseB,NDLJOBPC_01255,-
group_1899,NDLJOBPC_01256,+
araP_1,NDLJOBPC_01269,-
group_1901,NDLJOBPC_01270,-
group_1902,NDLJOBPC_01272,+
mctC_1,NDLJOBPC_01273,-
group_1904,NDLJOBPC_01274,-
group_1905,NDLJOBPC_01275,-
group_1906,NDLJOBPC_01276,-
group_1907,NDLJOBPC_01279,-
group_1908,NDLJOBPC_01283,-
group_1909,NDLJOBPC_01286,+
