Gene,albidoflavus_J1074,Sign
ant1,CDKDDEHB_03228,-
group_1062,CDKDDEHB_03232,+
group_1063,CDKDDEHB_03238,-
group_1064,CDKDDEHB_03263,-
group_1065,CDKDDEHB_03271,-
group_1067,CDKDDEHB_03274,+
group_1068,CDKDDEHB_03276,-
group_1069,CDKDDEHB_03278,+
psdht,CDKDDEHB_03283,+
group_1072,CDKDDEHB_03287,+
group_1073,CDKDDEHB_03302,+
lacI,CDKDDEHB_03316,-
group_1075,CDKDDEHB_03332,+
group_1076,CDKDDEHB_03345,+
group_1077,CDKDDEHB_03346,+
group_1078,CDKDDEHB_03363,+
group_1079,CDKDDEHB_03364,-
group_1080,CDKDDEHB_03366,+
group_1081,CDKDDEHB_03392,-
group_1082,CDKDDEHB_03412,-
group_1083,CDKDDEHB_03413,-
folP1,CDKDDEHB_03438,-
stp_3,CDKDDEHB_03447,+
dap_3,CDKDDEHB_03452,-
group_1087,CDKDDEHB_03463,+
group_1088,CDKDDEHB_03467,-
group_1089,CDKDDEHB_03473,-
group_109,CDKDDEHB_00024,+
group_1090,CDKDDEHB_03479,+
group_1091,CDKDDEHB_03480,+
argA,CDKDDEHB_03481,+
group_1093,CDKDDEHB_03483,-
group_1094,CDKDDEHB_03485,-
group_1095,CDKDDEHB_03506,-
group_1096,CDKDDEHB_03509,-
group_1098,CDKDDEHB_03510,+
rbbA,CDKDDEHB_03511,+
ybjJ_3,CDKDDEHB_03519,+
group_1101,CDKDDEHB_03538,+
group_1102,CDKDDEHB_03550,-
resA_2,CDKDDEHB_03559,+
group_1104,CDKDDEHB_03579,-
group_1105,CDKDDEHB_03600,-
group_1106,CDKDDEHB_03601,-
group_1112,CDKDDEHB_03615,+
group_1115,CDKDDEHB_03638,+
recQ,CDKDDEHB_03643,+
cof,CDKDDEHB_03647,+
hepT,CDKDDEHB_03653,+
group_1120,CDKDDEHB_03654,+
hxlR,CDKDDEHB_03670,+
ndhJ,CDKDDEHB_03678,+
htpX_2,CDKDDEHB_03713,-
group_1125,CDKDDEHB_03715,-
rspR_3,CDKDDEHB_03724,-
nnr,CDKDDEHB_03772,+
rimI,CDKDDEHB_03789,+
pknD_9,CDKDDEHB_03813,+
rppH_2,CDKDDEHB_03824,-
group_1137,CDKDDEHB_03843,-
group_1138,CDKDDEHB_03856,-
group_1139,CDKDDEHB_03861,+
group_1140,CDKDDEHB_03867,-
group_1141,CDKDDEHB_03870,-
group_1144,CDKDDEHB_03874,+
group_1145,CDKDDEHB_03879,+
group_1146,CDKDDEHB_03896,-
gabR_2,CDKDDEHB_03897,+
group_1148,CDKDDEHB_03922,+
group_1150,CDKDDEHB_03929,-
group_1151,CDKDDEHB_03945,+
group_1152,CDKDDEHB_03955,-
group_1153,CDKDDEHB_03962,+
group_1154,CDKDDEHB_03972,+
cdd,CDKDDEHB_03977,+
group_1156,CDKDDEHB_03979,+
group_1157,CDKDDEHB_03999,-
group_1158,CDKDDEHB_04000,-
group_1159,CDKDDEHB_04001,+
pimB_1,CDKDDEHB_00316,+
group_1160,CDKDDEHB_04003,+
drrB_3,CDKDDEHB_04043,+
group_1162,CDKDDEHB_04048,-
group_1163,CDKDDEHB_04052,+
group_1164,CDKDDEHB_04055,+
group_1165,CDKDDEHB_04056,-
group_1166,CDKDDEHB_04096,+
group_1167,CDKDDEHB_04106,-
ydhP_3,CDKDDEHB_04108,+
group_1169,CDKDDEHB_04110,-
group_1170,CDKDDEHB_04111,+
group_1171,CDKDDEHB_04112,-
group_1172,CDKDDEHB_04125,-
group_1180,CDKDDEHB_04177,+
group_1181,CDKDDEHB_04178,-
mftR_2,CDKDDEHB_04194,-
group_1188,CDKDDEHB_04221,-
nagZ_3,CDKDDEHB_04230,-
hcrA,CDKDDEHB_00364,+
recD2_1,CDKDDEHB_04231,+
group_1192,CDKDDEHB_04243,+
group_1193,CDKDDEHB_04253,-
group_1194,CDKDDEHB_04254,+
group_1195,CDKDDEHB_04267,-
group_1196,CDKDDEHB_04271,+
group_1197,CDKDDEHB_04273,-
group_1198,CDKDDEHB_04278,-
group_1199,CDKDDEHB_04280,-
pknG,CDKDDEHB_04281,-
group_1201,CDKDDEHB_04298,+
group_1202,CDKDDEHB_04300,+
group_1203,CDKDDEHB_04310,+
group_1204,CDKDDEHB_04340,+
group_1206,CDKDDEHB_04341,+
rne,CDKDDEHB_04343,+
group_1208,CDKDDEHB_04354,+
group_1209,CDKDDEHB_04365,-
group_121,CDKDDEHB_00426,+
group_1210,CDKDDEHB_04370,+
nat_2,CDKDDEHB_04373,+
tri1_2,CDKDDEHB_04388,+
pknD_11,CDKDDEHB_04403,-
group_1214,CDKDDEHB_04422,+
gvpA_1,CDKDDEHB_04425,+
group_1217,CDKDDEHB_04428,+
group_1218,CDKDDEHB_04431,+
group_1220,CDKDDEHB_04453,-
group_1221,CDKDDEHB_04455,+
dcuS_2,CDKDDEHB_04481,+
group_1223,CDKDDEHB_04484,-
fabF,CDKDDEHB_04512,-
group_1226,CDKDDEHB_04518,-
yfeW_3,CDKDDEHB_04519,-
group_1228,CDKDDEHB_04520,+
group_1229,CDKDDEHB_04523,-
group_123,CDKDDEHB_00506,-
group_1230,CDKDDEHB_04551,+
group_1231,CDKDDEHB_04555,-
group_1232,CDKDDEHB_04558,+
group_1233,CDKDDEHB_04563,-
group_1234,CDKDDEHB_04569,-
group_1235,CDKDDEHB_04570,-
group_1236,CDKDDEHB_04574,+
group_1238,CDKDDEHB_04583,+
yjhP_2,CDKDDEHB_04599,-
iolU,CDKDDEHB_04605,-
bcr,CDKDDEHB_04606,+
group_1242,CDKDDEHB_04630,-
group_1243,CDKDDEHB_04634,+
group_1244,CDKDDEHB_04637,-
glnE,CDKDDEHB_04638,+
group_1248,CDKDDEHB_04641,+
group_1249,CDKDDEHB_04664,+
cobN,CDKDDEHB_04669,-
cobL,CDKDDEHB_04675,-
group_1253,CDKDDEHB_04679,-
arpA,CDKDDEHB_04683,+
group_1255,CDKDDEHB_04687,+
ywnH,CDKDDEHB_04693,-
group_1257,CDKDDEHB_04700,-
group_1258,CDKDDEHB_04722,-
csd_2,CDKDDEHB_04736,+
group_1260,CDKDDEHB_04741,-
group_1261,CDKDDEHB_04754,+
group_1264,CDKDDEHB_04785,-
group_1265,CDKDDEHB_04809,+
pknD_12,CDKDDEHB_04812,-
dnaE1,CDKDDEHB_04816,+
hisC_1,CDKDDEHB_04827,+
group_1270,CDKDDEHB_04832,+
group_1271,CDKDDEHB_04875,-
yokD,CDKDDEHB_04878,-
group_1273,CDKDDEHB_04906,+
uvrC,CDKDDEHB_04917,+
group_1275,CDKDDEHB_04919,+
egtE,CDKDDEHB_04958,+
group_1278,CDKDDEHB_04986,-
group_1279,CDKDDEHB_05003,-
ctaD_1,CDKDDEHB_00617,-
group_1280,CDKDDEHB_05015,+
queA,CDKDDEHB_05021,-
recN,CDKDDEHB_05045,+
group_1285,CDKDDEHB_05046,+
scpA,CDKDDEHB_05058,+
group_1287,CDKDDEHB_05064,-
group_1288,CDKDDEHB_05071,+
group_1289,CDKDDEHB_05076,-
group_1290,CDKDDEHB_05089,+
group_1291,CDKDDEHB_05091,+
mshD_4,CDKDDEHB_05099,-
group_1293,CDKDDEHB_05103,+
group_1294,CDKDDEHB_05104,+
group_1295,CDKDDEHB_05111,-
pknD_13,CDKDDEHB_05113,-
group_1297,CDKDDEHB_05121,+
tdh,CDKDDEHB_05123,+
group_130,CDKDDEHB_00781,-
aqdR,CDKDDEHB_05132,-
degA_3,CDKDDEHB_05190,-
helY,CDKDDEHB_05202,+
ncsB3_5,CDKDDEHB_05208,+
group_1306,CDKDDEHB_05227,+
group_1307,CDKDDEHB_05242,+
group_1308,CDKDDEHB_05243,+
group_1309,CDKDDEHB_05244,-
group_1310,CDKDDEHB_05245,+
group_1311,CDKDDEHB_05251,+
group_1312,CDKDDEHB_05266,-
group_1313,CDKDDEHB_05284,+
group_1314,CDKDDEHB_05295,+
group_1315,CDKDDEHB_05302,-
menF_2,CDKDDEHB_05313,+
group_1317,CDKDDEHB_05323,+
group_1318,CDKDDEHB_05389,+
group_1319,CDKDDEHB_05393,-
group_1320,CDKDDEHB_05395,+
group_1321,CDKDDEHB_05396,+
group_1322,CDKDDEHB_05402,-
gltC_3,CDKDDEHB_05403,-
group_1324,CDKDDEHB_05404,+
group_1325,CDKDDEHB_05409,-
hisC_2,CDKDDEHB_05432,+
group_1328,CDKDDEHB_05442,+
ptsJ,CDKDDEHB_05485,+
treC,CDKDDEHB_01032,-
petC,CDKDDEHB_05494,-
group_1331,CDKDDEHB_05495,+
group_1333,CDKDDEHB_05509,-
group_1335,CDKDDEHB_05525,-
group_1337,CDKDDEHB_05535,-
sigW,CDKDDEHB_05536,-
group_1339,CDKDDEHB_05545,-
group_134,CDKDDEHB_01349,-
phoD_2,CDKDDEHB_05549,-
mug,CDKDDEHB_05556,-
purB,CDKDDEHB_05557,-
group_1345,CDKDDEHB_05564,+
bioA,CDKDDEHB_05566,-
clpP2_3,CDKDDEHB_05573,-
group_1348,CDKDDEHB_05574,+
ureD_2,CDKDDEHB_05580,+
sttH,CDKDDEHB_05585,+
cdhR_6,CDKDDEHB_05586,+
dasA_4,CDKDDEHB_05612,+
group_1354,CDKDDEHB_05620,-
group_1355,CDKDDEHB_05627,+
gndA,CDKDDEHB_05644,-
group_1358,CDKDDEHB_05653,+
group_136,CDKDDEHB_01518,+
dasA_5,CDKDDEHB_05675,+
group_1361,CDKDDEHB_05680,+
lin,CDKDDEHB_05686,-
group_1364,CDKDDEHB_05687,-
crtB_2,CDKDDEHB_05692,+
group_1366,CDKDDEHB_05693,+
group_1368,CDKDDEHB_05709,-
group_1369,CDKDDEHB_05715,+
group_1370,CDKDDEHB_05716,+
group_1371,CDKDDEHB_05717,+
group_1374,CDKDDEHB_05724,-
vgb,CDKDDEHB_05744,+
group_1376,CDKDDEHB_05773,+
fpuB_2,CDKDDEHB_05777,+
group_1379,CDKDDEHB_05779,+
group_138,CDKDDEHB_01521,+
group_1380,CDKDDEHB_05780,+
group_1381,CDKDDEHB_05783,+
yheH,CDKDDEHB_05785,+
def_3,CDKDDEHB_05791,+
group_1384,CDKDDEHB_05795,+
otnK,CDKDDEHB_05800,+
group_1386,CDKDDEHB_05812,-
group_1387,CDKDDEHB_05814,-
group_1389,CDKDDEHB_05825,+
oppF_2,CDKDDEHB_05831,+
group_1391,CDKDDEHB_05833,-
group_1392,CDKDDEHB_05834,-
group_1395,CDKDDEHB_05844,+
group_1396,CDKDDEHB_05845,-
group_1397,CDKDDEHB_05847,-
group_1398,CDKDDEHB_05857,+
group_1399,CDKDDEHB_05860,+
group_140,CDKDDEHB_01530,-
per,CDKDDEHB_05874,-
group_1402,CDKDDEHB_05877,+
argP,CDKDDEHB_05921,+
group_142,CDKDDEHB_01864,-
ndhI_2,CDKDDEHB_03680,+
group_1431,CDKDDEHB_00074,-
aceE_1,CDKDDEHB_00839,-
group_1437,CDKDDEHB_01099,-
ureC_1,CDKDDEHB_01302,-
group_1439,CDKDDEHB_01587,-
lpqB,CDKDDEHB_01895,-
group_1440,CDKDDEHB_01879,-
group_1441,CDKDDEHB_02033,-
group_1443,CDKDDEHB_02285,-
group_1444,CDKDDEHB_02378,+
group_1445,CDKDDEHB_02481,+
group_1446,CDKDDEHB_03048,+
group_1447,CDKDDEHB_03235,-
group_1449,CDKDDEHB_03858,-
spk1,CDKDDEHB_04770,-
pknD_14,CDKDDEHB_05304,-
group_147,CDKDDEHB_01901,+
group_151,CDKDDEHB_02056,-
group_1519,CDKDDEHB_00025,-
group_152,CDKDDEHB_02219,+
fruA,CDKDDEHB_00029,+
group_1523,CDKDDEHB_00043,+
group_1524,CDKDDEHB_00045,-
rpmF_1,CDKDDEHB_00047,+
tam_1,CDKDDEHB_00048,-
group_1528,CDKDDEHB_00049,-
group_1529,CDKDDEHB_00050,+
group_1530,CDKDDEHB_00051,+
group_1531,CDKDDEHB_00052,+
bdhA,CDKDDEHB_00055,-
lnt_1,CDKDDEHB_00057,-
deaD_1,CDKDDEHB_00058,-
group_1535,CDKDDEHB_00059,-
murI,CDKDDEHB_00060,-
group_1537,CDKDDEHB_00062,+
group_1538,CDKDDEHB_00066,-
group_1539,CDKDDEHB_00068,-
eno_2,CDKDDEHB_02221,+
group_1540,CDKDDEHB_00069,+
group_1541,CDKDDEHB_00070,+
ybjJ_1,CDKDDEHB_00073,+
group_1543,CDKDDEHB_00077,-
argE,CDKDDEHB_00078,+
tdcB_1,CDKDDEHB_00079,-
group_1546,CDKDDEHB_00080,-
nanK_2,CDKDDEHB_00081,-
rutF,CDKDDEHB_00086,-
group_1549,CDKDDEHB_00087,-
group_1550,CDKDDEHB_00093,-
group_1551,CDKDDEHB_00094,+
group_1552,CDKDDEHB_00096,-
group_1553,CDKDDEHB_00099,+
gph_1,CDKDDEHB_00101,+
group_1556,CDKDDEHB_00102,-
group_1557,CDKDDEHB_00104,+
uacT,CDKDDEHB_00105,+
group_1559,CDKDDEHB_00106,-
group_156,CDKDDEHB_02278,-
group_1561,CDKDDEHB_00109,+
ctpI,CDKDDEHB_00115,+
hspA,CDKDDEHB_00116,+
ydeP,CDKDDEHB_00118,+
group_1566,CDKDDEHB_00127,-
group_1567,CDKDDEHB_00128,+
group_1568,CDKDDEHB_00129,-
hxpB,CDKDDEHB_00131,+
group_1570,CDKDDEHB_00132,-
csbC,CDKDDEHB_00138,+
bamB_1,CDKDDEHB_00140,-
group_1573,CDKDDEHB_00142,-
group_1574,CDKDDEHB_00155,+
ngcG_1,CDKDDEHB_00158,-
melD,CDKDDEHB_00159,-
group_1577,CDKDDEHB_00160,-
cytR_1,CDKDDEHB_00161,+
ssuC_1,CDKDDEHB_00163,+
btuD_12,CDKDDEHB_02331,-
group_1581,CDKDDEHB_00169,-
group_1582,CDKDDEHB_00172,-
group_1583,CDKDDEHB_00175,-
group_1584,CDKDDEHB_00182,-
group_1585,CDKDDEHB_00184,-
group_1586,CDKDDEHB_00185,+
group_1587,CDKDDEHB_00186,+
group_1588,CDKDDEHB_00188,-
rapA,CDKDDEHB_00189,+
group_1590,CDKDDEHB_00191,+
group_1593,CDKDDEHB_00196,-
group_1594,CDKDDEHB_00197,+
mycG_1,CDKDDEHB_00198,-
group_1596,CDKDDEHB_00204,+
sprA,CDKDDEHB_00208,-
group_1598,CDKDDEHB_00210,-
group_1599,CDKDDEHB_00211,+
abaF_2,CDKDDEHB_00214,-
benM,CDKDDEHB_00216,-
group_1602,CDKDDEHB_00221,+
group_1603,CDKDDEHB_00222,+
group_1604,CDKDDEHB_00223,+
uctC_1,CDKDDEHB_00224,+
group_1606,CDKDDEHB_00232,-
group_1607,CDKDDEHB_00233,-
group_1608,CDKDDEHB_00234,+
group_1609,CDKDDEHB_00240,+
group_1610,CDKDDEHB_00241,+
fas2,CDKDDEHB_00243,+
group_1612,CDKDDEHB_00245,-
group_1613,CDKDDEHB_00247,-
group_1614,CDKDDEHB_00248,+
group_1615,CDKDDEHB_00254,+
group_1616,CDKDDEHB_00255,-
group_1618,CDKDDEHB_00257,-
group_1619,CDKDDEHB_00258,-
group_162,CDKDDEHB_02779,+
group_1620,CDKDDEHB_00260,-
group_1621,CDKDDEHB_00261,-
group_1622,CDKDDEHB_00264,-
group_1623,CDKDDEHB_00266,-
hpnE,CDKDDEHB_00268,-
group_1625,CDKDDEHB_00274,-
group_1626,CDKDDEHB_00277,-
idi,CDKDDEHB_00279,+
group_1628,CDKDDEHB_00280,-
ettA_1,CDKDDEHB_00287,-
viaA,CDKDDEHB_00292,-
ravA,CDKDDEHB_00293,-
aao,CDKDDEHB_00294,+
betP_1,CDKDDEHB_00295,-
group_1635,CDKDDEHB_00296,+
nfi,CDKDDEHB_00302,-
group_1638,CDKDDEHB_00308,-
group_1639,CDKDDEHB_00309,+
stp_2,CDKDDEHB_03198,+
secDF,CDKDDEHB_00310,+
yheS_1,CDKDDEHB_00312,+
desA1,CDKDDEHB_00313,+
rbsR_2,CDKDDEHB_00318,-
caiD_2,CDKDDEHB_00333,-
group_1647,CDKDDEHB_00335,+
group_1648,CDKDDEHB_00336,-
group_1649,CDKDDEHB_00337,+
group_1650,CDKDDEHB_00344,+
lagD,CDKDDEHB_00347,+
aruI,CDKDDEHB_00354,-
bacC,CDKDDEHB_00355,-
ped,CDKDDEHB_00356,-
catD_1,CDKDDEHB_00358,-
group_1656,CDKDDEHB_00362,+
coxS,CDKDDEHB_00363,+
group_1658,CDKDDEHB_00367,+
rbsD,CDKDDEHB_00368,-
rbsK_1,CDKDDEHB_00369,-
group_1661,CDKDDEHB_00377,+
group_1662,CDKDDEHB_00384,-
group_1663,CDKDDEHB_00385,-
group_1664,CDKDDEHB_00386,-
group_1665,CDKDDEHB_00395,-
yhjX,CDKDDEHB_00396,-
group_1667,CDKDDEHB_00398,-
hdfR_1,CDKDDEHB_00399,+
group_1669,CDKDDEHB_00401,+
group_167,CDKDDEHB_03776,-
tam_2,CDKDDEHB_00403,-
COQ5_2,CDKDDEHB_00404,-
group_1672,CDKDDEHB_00406,-
group_1673,CDKDDEHB_00407,+
group_1674,CDKDDEHB_00408,+
narY,CDKDDEHB_00411,+
narX,CDKDDEHB_00413,+
group_1677,CDKDDEHB_00417,-
group_1678,CDKDDEHB_00418,+
group_1679,CDKDDEHB_00419,+
group_168,CDKDDEHB_03298,-
yhbO,CDKDDEHB_00422,+
group_1682,CDKDDEHB_00423,-
yegS_1,CDKDDEHB_00424,+
COQ5_3,CDKDDEHB_00425,+
betI_1,CDKDDEHB_00428,+
group_1686,CDKDDEHB_00432,-
rimJ_1,CDKDDEHB_00433,-
group_1688,CDKDDEHB_00434,-
group_1689,CDKDDEHB_00435,-
ykfA,CDKDDEHB_00437,-
group_1691,CDKDDEHB_00438,-
dapE_1,CDKDDEHB_00439,-
mdtD_2,CDKDDEHB_00441,-
group_1694,CDKDDEHB_00443,+
tap_1,CDKDDEHB_00444,+
nimR_1,CDKDDEHB_00446,+
group_1697,CDKDDEHB_00447,+
yfhA_1,CDKDDEHB_00449,+
yusV,CDKDDEHB_00450,+
group_170,CDKDDEHB_03326,+
group_1700,CDKDDEHB_00452,+
garK_1,CDKDDEHB_00460,-
cobB_1,CDKDDEHB_00463,+
group_1703,CDKDDEHB_00465,-
group_1704,CDKDDEHB_00466,+
btuD_3,CDKDDEHB_00467,+
group_1706,CDKDDEHB_00468,+
ytrA_1,CDKDDEHB_00469,+
alkA,CDKDDEHB_00471,-
trpA_1,CDKDDEHB_00472,+
group_1711,CDKDDEHB_00474,-
ymdB,CDKDDEHB_00475,-
thi4,CDKDDEHB_00476,-
ywrD,CDKDDEHB_00479,-
fgd_1,CDKDDEHB_00482,-
group_1716,CDKDDEHB_00488,+
group_1717,CDKDDEHB_00492,-
group_1718,CDKDDEHB_00493,+
group_1719,CDKDDEHB_00495,-
group_172,CDKDDEHB_03328,+
glnH_1,CDKDDEHB_00497,-
group_1721,CDKDDEHB_00499,-
group_1722,CDKDDEHB_00500,+
xthA,CDKDDEHB_00501,-
group_1724,CDKDDEHB_00503,-
group_1726,CDKDDEHB_00509,-
group_1727,CDKDDEHB_00510,+
lacZ_1,CDKDDEHB_00514,-
ftsH_1,CDKDDEHB_00530,+
group_1731,CDKDDEHB_00531,-
group_1732,CDKDDEHB_00533,+
group_1735,CDKDDEHB_00540,+
group_1736,CDKDDEHB_00541,+
group_1737,CDKDDEHB_00546,+
group_1738,CDKDDEHB_00549,-
group_1739,CDKDDEHB_00550,-
lgrB_3,CDKDDEHB_03451,-
iolG_2,CDKDDEHB_00556,+
pikC_1,CDKDDEHB_00557,-
vraR_1,CDKDDEHB_00559,-
group_1743,CDKDDEHB_00560,-
allB,CDKDDEHB_00563,-
group_1745,CDKDDEHB_00565,-
nboR,CDKDDEHB_00566,+
paoC_2,CDKDDEHB_00567,-
paoB_2,CDKDDEHB_00568,-
paoA_2,CDKDDEHB_00569,-
group_1751,CDKDDEHB_00614,+
group_1752,CDKDDEHB_00615,-
group_1753,CDKDDEHB_00616,-
levB,CDKDDEHB_00618,-
rbsR_3,CDKDDEHB_00619,-
group_1756,CDKDDEHB_00621,+
sacA,CDKDDEHB_00623,-
cscB,CDKDDEHB_00624,+
scrK,CDKDDEHB_00625,+
pucL,CDKDDEHB_00635,-
group_1761,CDKDDEHB_00636,-
hyi,CDKDDEHB_00638,+
garR_1,CDKDDEHB_00639,+
group_1764,CDKDDEHB_00642,+
mftR_1,CDKDDEHB_00647,+
group_1767,CDKDDEHB_00650,+
group_1769,CDKDDEHB_00653,-
pucA,CDKDDEHB_00654,-
group_1771,CDKDDEHB_00659,+
group_1772,CDKDDEHB_00661,+
group_1773,CDKDDEHB_00663,+
group_1774,CDKDDEHB_00664,+
group_1775,CDKDDEHB_00667,-
group_1776,CDKDDEHB_00670,+
ogt_2,CDKDDEHB_00672,-
rsgA_1,CDKDDEHB_00673,-
group_1779,CDKDDEHB_00674,+
group_1780,CDKDDEHB_00676,-
rpoE,CDKDDEHB_00683,-
group_1783,CDKDDEHB_00684,+
phrB_1,CDKDDEHB_00686,-
btuC_1,CDKDDEHB_00691,+
fepC_2,CDKDDEHB_00692,+
group_1787,CDKDDEHB_00693,+
group_1788,CDKDDEHB_00694,-
group_1789,CDKDDEHB_00696,-
group_1790,CDKDDEHB_00697,+
mmuM,CDKDDEHB_00699,+
group_1792,CDKDDEHB_00702,-
aidB_2,CDKDDEHB_00703,+
ccr_1,CDKDDEHB_00705,-
group_1795,CDKDDEHB_00709,+
group_1796,CDKDDEHB_00711,+
cysH,CDKDDEHB_00712,+
cysC,CDKDDEHB_00713,+
cbiX,CDKDDEHB_00720,+
tam_3,CDKDDEHB_00721,+
group_1801,CDKDDEHB_00726,-
group_1802,CDKDDEHB_00727,+
group_1803,CDKDDEHB_00736,+
group_1804,CDKDDEHB_00737,+
murC,CDKDDEHB_00743,-
group_1806,CDKDDEHB_00753,+
group_1807,CDKDDEHB_00754,+
group_1808,CDKDDEHB_00755,+
hemY,CDKDDEHB_00758,-
group_1810,CDKDDEHB_00763,+
group_1811,CDKDDEHB_00767,+
ngcG_2,CDKDDEHB_00776,-
acnA,CDKDDEHB_00779,-
group_1814,CDKDDEHB_00793,-
group_1816,CDKDDEHB_00799,-
group_1817,CDKDDEHB_00801,-
arcA_1,CDKDDEHB_00802,+
group_1819,CDKDDEHB_00805,-
sasA_7,CDKDDEHB_03993,-
ndhB_1,CDKDDEHB_00808,-
ncsB3_1,CDKDDEHB_00809,-
group_1822,CDKDDEHB_00811,-
group_1823,CDKDDEHB_00812,-
group_1824,CDKDDEHB_00814,-
group_1825,CDKDDEHB_00815,+
argF,CDKDDEHB_00817,-
apaH,CDKDDEHB_00822,-
COQ3_1,CDKDDEHB_00823,-
group_1830,CDKDDEHB_00827,-
group_1831,CDKDDEHB_00828,-
group_1832,CDKDDEHB_00830,+
xpkA,CDKDDEHB_00831,-
group_1834,CDKDDEHB_00832,-
group_1835,CDKDDEHB_00833,-
lutC,CDKDDEHB_00834,-
group_1837,CDKDDEHB_00841,+
group_1838,CDKDDEHB_00842,+
group_1839,CDKDDEHB_00843,-
group_184,CDKDDEHB_04103,+
devS,CDKDDEHB_00846,-
group_1841,CDKDDEHB_00848,+
bmr3_1,CDKDDEHB_00851,+
yfhA_2,CDKDDEHB_00853,-
sutR_1,CDKDDEHB_00858,-
nylA_1,CDKDDEHB_00864,-
group_1847,CDKDDEHB_00865,+
cypM,CDKDDEHB_00866,-
group_1849,CDKDDEHB_00867,-
metXA,CDKDDEHB_00868,-
group_1851,CDKDDEHB_00870,+
yagG,CDKDDEHB_00872,-
group_1853,CDKDDEHB_00873,+
group_1854,CDKDDEHB_00874,+
group_1855,CDKDDEHB_00876,-
group_1856,CDKDDEHB_00878,-
group_1857,CDKDDEHB_00879,-
group_1858,CDKDDEHB_00880,+
group_1859,CDKDDEHB_00882,-
group_186,CDKDDEHB_04371,-
tet(X)_1,CDKDDEHB_00888,-
group_1861,CDKDDEHB_00891,+
group_1862,CDKDDEHB_00893,-
ybjJ_2,CDKDDEHB_00896,+
group_1864,CDKDDEHB_00898,-
group_1865,CDKDDEHB_00899,-
rbsC_2,CDKDDEHB_00900,-
ansA,CDKDDEHB_00904,+
linC_1,CDKDDEHB_00906,-
group_1870,CDKDDEHB_00914,-
group_1871,CDKDDEHB_00916,+
group_1872,CDKDDEHB_00918,+
leuB_1,CDKDDEHB_00921,-
group_1874,CDKDDEHB_00923,+
ytbE,CDKDDEHB_00924,+
group_1876,CDKDDEHB_00926,-
group_1877,CDKDDEHB_00927,-
group_1878,CDKDDEHB_00929,-
group_1879,CDKDDEHB_00931,-
yddE,CDKDDEHB_04600,-
group_1880,CDKDDEHB_00932,-
group_1881,CDKDDEHB_00939,+
group_1882,CDKDDEHB_00943,+
fgd_3,CDKDDEHB_00954,-
group_1885,CDKDDEHB_00955,-
tadA_1,CDKDDEHB_00958,+
lieA,CDKDDEHB_00959,+
group_1888,CDKDDEHB_00973,+
group_1890,CDKDDEHB_00977,-
group_1891,CDKDDEHB_01007,+
group_1892,CDKDDEHB_01008,-
sasA_1,CDKDDEHB_01010,-
tcrA,CDKDDEHB_01011,-
hemH,CDKDDEHB_01014,-
group_1896,CDKDDEHB_01016,+
group_1897,CDKDDEHB_01017,-
sseB,CDKDDEHB_01019,-
group_1899,CDKDDEHB_01020,+
araP_1,CDKDDEHB_01034,-
group_1901,CDKDDEHB_01035,-
group_1902,CDKDDEHB_01037,+
mctC_1,CDKDDEHB_01038,-
group_1904,CDKDDEHB_01039,-
group_1905,CDKDDEHB_01040,-
group_1906,CDKDDEHB_01041,-
group_1907,CDKDDEHB_01044,-
group_1908,CDKDDEHB_01048,-
group_1909,CDKDDEHB_01051,+
