Gene,albidoflavus_UYFA156,Sign
pknD_12,OKGGMJON_04930,-
dnaE1,OKGGMJON_04935,+
hisC_1,OKGGMJON_04946,+
group_1270,OKGGMJON_04951,+
group_1271,OKGGMJON_04994,-
yokD,OKGGMJON_04997,-
group_1273,OKGGMJON_05025,+
uvrC,OKGGMJON_05037,+
group_1275,OKGGMJON_05040,+
egtE,OKGGMJON_05081,+
group_1278,OKGGMJON_05109,-
group_1279,OKGGMJON_05127,-
ctaD_1,OKGGMJON_00740,-
group_1280,OKGGMJON_05139,+
queA,OKGGMJON_05145,-
recN,OKGGMJON_05169,+
group_1285,OKGGMJON_05170,+
scpA,OKGGMJON_05182,+
group_1287,OKGGMJON_05188,-
group_1288,OKGGMJON_05195,+
group_1289,OKGGMJON_05199,-
group_1290,OKGGMJON_05210,+
group_1291,OKGGMJON_05212,+
mshD_4,OKGGMJON_05222,-
group_1293,OKGGMJON_05228,+
group_1294,OKGGMJON_05229,+
group_1295,OKGGMJON_05236,-
pknD_13,OKGGMJON_05238,-
group_1297,OKGGMJON_05246,+
tdh,OKGGMJON_05248,+
group_130,OKGGMJON_00915,-
aqdR,OKGGMJON_05257,-
degA_3,OKGGMJON_05319,-
helY,OKGGMJON_05331,+
ncsB3_5,OKGGMJON_05339,+
group_1306,OKGGMJON_05359,+
group_1307,OKGGMJON_05374,+
group_1308,OKGGMJON_05375,+
group_1309,OKGGMJON_05376,-
group_1310,OKGGMJON_05377,+
group_1311,OKGGMJON_05414,+
group_1312,OKGGMJON_05424,-
group_1313,OKGGMJON_05439,+
group_1314,OKGGMJON_05451,+
group_1315,OKGGMJON_05458,-
menF_2,OKGGMJON_05471,+
group_1317,OKGGMJON_05481,+
group_1318,OKGGMJON_05543,+
group_1319,OKGGMJON_05547,-
group_1320,OKGGMJON_05549,+
group_1321,OKGGMJON_05550,+
group_1322,OKGGMJON_05556,-
gltC_3,OKGGMJON_05557,-
group_1324,OKGGMJON_05558,+
group_1325,OKGGMJON_05563,-
hisC_2,OKGGMJON_05588,+
group_1328,OKGGMJON_05601,+
ptsJ,OKGGMJON_05645,+
treC,OKGGMJON_01151,-
petC,OKGGMJON_05655,-
group_1331,OKGGMJON_05656,+
group_1333,OKGGMJON_05669,-
group_1335,OKGGMJON_05683,-
group_1337,OKGGMJON_05695,-
sigW,OKGGMJON_05696,-
group_1339,OKGGMJON_05705,-
group_134,OKGGMJON_01480,-
phoD_2,OKGGMJON_05709,-
mug,OKGGMJON_05716,-
purB,OKGGMJON_05717,-
group_1345,OKGGMJON_05725,+
bioA,OKGGMJON_05727,-
clpP2_3,OKGGMJON_05734,-
group_1348,OKGGMJON_05735,+
ureD_2,OKGGMJON_05741,+
sttH,OKGGMJON_05746,+
cdhR_6,OKGGMJON_05747,+
dasA_4,OKGGMJON_05777,+
group_1354,OKGGMJON_05786,-
group_1355,OKGGMJON_05793,+
gndA,OKGGMJON_05809,-
group_1358,OKGGMJON_05818,+
group_136,OKGGMJON_01668,+
dasA_5,OKGGMJON_05840,+
group_1361,OKGGMJON_05845,+
lin,OKGGMJON_05853,-
group_1364,OKGGMJON_05854,-
crtB_2,OKGGMJON_05859,+
group_1366,OKGGMJON_05860,+
group_1368,OKGGMJON_05875,-
group_1369,OKGGMJON_05881,+
group_1370,OKGGMJON_05882,+
group_1371,OKGGMJON_05883,+
group_1374,OKGGMJON_05887,-
vgb,OKGGMJON_05895,+
group_1376,OKGGMJON_05953,+
fpuB_2,OKGGMJON_05959,+
group_1379,OKGGMJON_05961,+
group_138,OKGGMJON_01672,+
group_1380,OKGGMJON_05962,+
group_1381,OKGGMJON_05965,+
yheH,OKGGMJON_05967,+
def_3,OKGGMJON_05973,+
group_1384,OKGGMJON_05975,+
otnK,OKGGMJON_05977,+
group_1386,OKGGMJON_05988,-
group_1387,OKGGMJON_05990,-
group_1389,OKGGMJON_06001,+
oppF_2,OKGGMJON_06007,+
group_1391,OKGGMJON_06010,-
group_1392,OKGGMJON_06011,-
group_1395,OKGGMJON_06014,+
group_1396,OKGGMJON_06015,-
group_1397,OKGGMJON_06017,-
group_1398,OKGGMJON_06027,+
group_1399,OKGGMJON_06031,+
group_140,OKGGMJON_01683,-
per,OKGGMJON_06059,-
group_1402,OKGGMJON_06062,+
argP,OKGGMJON_06108,+
group_142,OKGGMJON_02011,-
ndhI_2,OKGGMJON_03799,+
group_1431,OKGGMJON_00250,-
aceE_1,OKGGMJON_00989,-
group_1437,OKGGMJON_01224,-
ureC_1,OKGGMJON_01433,-
group_1439,OKGGMJON_01739,-
lpqB,OKGGMJON_02041,-
group_1440,OKGGMJON_02026,-
group_1441,OKGGMJON_02199,-
group_1443,OKGGMJON_02463,-
group_1444,OKGGMJON_02564,+
group_1445,OKGGMJON_02666,+
group_1446,OKGGMJON_03055,-
group_1447,OKGGMJON_02872,+
group_1449,OKGGMJON_03979,-
spk1,OKGGMJON_04888,-
pknD_14,OKGGMJON_05462,-
group_147,OKGGMJON_02047,+
group_151,OKGGMJON_02225,-
group_1519,OKGGMJON_00209,-
group_152,OKGGMJON_02380,+
fruA,OKGGMJON_00213,+
group_1523,OKGGMJON_00219,+
group_1524,OKGGMJON_00221,-
rpmF_1,OKGGMJON_00222,+
tam_1,OKGGMJON_00223,-
group_1528,OKGGMJON_00224,-
group_1529,OKGGMJON_00225,+
group_1530,OKGGMJON_00226,+
group_1531,OKGGMJON_00227,+
bdhA,OKGGMJON_00231,-
lnt_1,OKGGMJON_00233,-
deaD_1,OKGGMJON_00234,-
group_1535,OKGGMJON_00235,-
murI,OKGGMJON_00236,-
group_1537,OKGGMJON_00238,+
group_1538,OKGGMJON_00242,-
group_1539,OKGGMJON_00244,-
eno_2,OKGGMJON_02383,+
group_1540,OKGGMJON_00245,+
group_1541,OKGGMJON_00246,+
ybjJ_1,OKGGMJON_00249,+
group_1543,OKGGMJON_00253,-
argE,OKGGMJON_00254,+
tdcB_1,OKGGMJON_00255,-
group_1546,OKGGMJON_00256,-
nanK_2,OKGGMJON_00257,-
rutF,OKGGMJON_00262,-
group_1549,OKGGMJON_00263,-
group_1550,OKGGMJON_00270,-
group_1551,OKGGMJON_00271,+
group_1552,OKGGMJON_00273,-
group_1553,OKGGMJON_00276,+
gph_1,OKGGMJON_00277,+
group_1556,OKGGMJON_00278,-
group_1557,OKGGMJON_00280,+
uacT,OKGGMJON_00281,+
group_1559,OKGGMJON_00282,-
group_156,OKGGMJON_02453,-
group_1561,OKGGMJON_00285,+
ctpI,OKGGMJON_00295,+
hspA,OKGGMJON_00296,+
ydeP,OKGGMJON_00299,+
group_1566,OKGGMJON_00302,-
group_1567,OKGGMJON_00303,+
group_1568,OKGGMJON_00304,-
hxpB,OKGGMJON_00306,+
group_1570,OKGGMJON_00307,-
csbC,OKGGMJON_00310,+
bamB_1,OKGGMJON_00313,-
group_1573,OKGGMJON_00315,-
group_1574,OKGGMJON_00317,+
ngcG_1,OKGGMJON_00321,-
melD,OKGGMJON_00322,-
group_1577,OKGGMJON_00323,-
cytR_1,OKGGMJON_00324,+
ssuC_1,OKGGMJON_00326,+
btuD_12,OKGGMJON_02513,-
group_1581,OKGGMJON_00331,-
group_1582,OKGGMJON_00334,-
group_1583,OKGGMJON_00339,-
group_1584,OKGGMJON_00346,-
group_1585,OKGGMJON_00348,-
group_1586,OKGGMJON_00349,+
group_1587,OKGGMJON_00350,+
group_1588,OKGGMJON_00352,-
rapA,OKGGMJON_00353,+
group_1590,OKGGMJON_00355,+
group_1593,OKGGMJON_00359,-
group_1594,OKGGMJON_00360,+
mycG_1,OKGGMJON_00361,-
group_1596,OKGGMJON_00371,+
sprA,OKGGMJON_00375,-
group_1598,OKGGMJON_00377,-
group_1599,OKGGMJON_00378,+
abaF_2,OKGGMJON_00381,-
benM,OKGGMJON_00383,-
group_1602,OKGGMJON_00389,+
group_1603,OKGGMJON_00392,+
group_1604,OKGGMJON_00393,+
uctC_1,OKGGMJON_00394,+
group_1606,OKGGMJON_00401,-
group_1607,OKGGMJON_00402,-
group_1608,OKGGMJON_00403,+
group_1609,OKGGMJON_00406,+
group_1610,OKGGMJON_00407,+
fas2,OKGGMJON_00409,+
group_1612,OKGGMJON_00411,-
group_1613,OKGGMJON_00413,-
group_1614,OKGGMJON_00414,+
group_1615,OKGGMJON_00420,+
group_1616,OKGGMJON_00421,-
group_1618,OKGGMJON_00424,-
group_1619,OKGGMJON_00425,-
group_162,OKGGMJON_03317,-
group_1620,OKGGMJON_00427,-
group_1621,OKGGMJON_00428,-
group_1622,OKGGMJON_00431,-
group_1623,OKGGMJON_00433,-
hpnE,OKGGMJON_00435,-
group_1625,OKGGMJON_00442,-
group_1626,OKGGMJON_00445,-
idi,OKGGMJON_00447,+
group_1628,OKGGMJON_00448,-
ettA_1,OKGGMJON_00456,-
viaA,OKGGMJON_00462,-
ravA,OKGGMJON_00463,-
aao,OKGGMJON_00464,+
betP_1,OKGGMJON_00465,-
group_1635,OKGGMJON_00466,+
nfi,OKGGMJON_00472,-
group_1638,OKGGMJON_00476,-
group_1639,OKGGMJON_00477,+
stp_2,OKGGMJON_02925,-
secDF,OKGGMJON_00478,+
yheS_1,OKGGMJON_00480,+
desA1,OKGGMJON_00481,+
rbsR_2,OKGGMJON_00489,-
caiD_2,OKGGMJON_00496,-
group_1647,OKGGMJON_00498,+
group_1648,OKGGMJON_00499,-
group_1649,OKGGMJON_00500,+
group_1650,OKGGMJON_00511,+
lagD,OKGGMJON_00514,+
aruI,OKGGMJON_00521,-
bacC,OKGGMJON_00522,-
ped,OKGGMJON_00523,-
catD_1,OKGGMJON_00525,-
group_1656,OKGGMJON_00528,+
coxS,OKGGMJON_00529,+
group_1658,OKGGMJON_00535,+
rbsD,OKGGMJON_00536,-
rbsK_1,OKGGMJON_00537,-
group_1661,OKGGMJON_00546,+
group_1662,OKGGMJON_00552,-
group_1663,OKGGMJON_00553,-
group_1664,OKGGMJON_00554,-
group_1665,OKGGMJON_00562,-
yhjX,OKGGMJON_00563,-
group_1667,OKGGMJON_00565,-
hdfR_1,OKGGMJON_00566,+
group_1669,OKGGMJON_00569,+
group_167,OKGGMJON_03897,-
tam_2,OKGGMJON_00571,-
COQ5_2,OKGGMJON_00572,-
group_1672,OKGGMJON_00574,-
group_1673,OKGGMJON_00575,+
group_1674,OKGGMJON_00576,+
narY,OKGGMJON_00579,+
narX,OKGGMJON_00581,+
group_1677,OKGGMJON_00587,-
group_1678,OKGGMJON_00588,+
group_1679,OKGGMJON_00589,+
group_168,OKGGMJON_02811,+
yhbO,OKGGMJON_00593,+
group_1682,OKGGMJON_00594,-
yegS_1,OKGGMJON_00595,+
COQ5_3,OKGGMJON_00596,+
betI_1,OKGGMJON_00599,+
group_1686,OKGGMJON_00602,-
rimJ_1,OKGGMJON_00603,-
group_1688,OKGGMJON_00604,-
group_1689,OKGGMJON_00605,-
ykfA,OKGGMJON_00606,-
group_1691,OKGGMJON_00607,-
dapE_1,OKGGMJON_00608,-
mdtD_2,OKGGMJON_00610,-
group_1694,OKGGMJON_00612,+
tap_1,OKGGMJON_00616,+
nimR_1,OKGGMJON_00618,+
group_1697,OKGGMJON_00619,+
yfhA_1,OKGGMJON_00621,+
yusV,OKGGMJON_00622,+
group_170,OKGGMJON_02781,-
group_1700,OKGGMJON_00624,+
garK_1,OKGGMJON_00632,-
cobB_1,OKGGMJON_00635,+
group_1703,OKGGMJON_00637,-
group_1704,OKGGMJON_00638,+
btuD_3,OKGGMJON_00639,+
group_1706,OKGGMJON_00640,+
ytrA_1,OKGGMJON_00641,+
alkA,OKGGMJON_00643,-
trpA_1,OKGGMJON_00644,+
group_1711,OKGGMJON_00645,-
ymdB,OKGGMJON_00646,-
thi4,OKGGMJON_00647,-
ywrD,OKGGMJON_00650,-
fgd_1,OKGGMJON_00653,-
group_1716,OKGGMJON_00659,+
group_1717,OKGGMJON_00664,-
group_1718,OKGGMJON_00665,+
group_1719,OKGGMJON_00667,-
group_172,OKGGMJON_02778,-
glnH_1,OKGGMJON_00669,-
group_1721,OKGGMJON_00671,-
group_1722,OKGGMJON_00672,+
xthA,OKGGMJON_00673,-
group_1724,OKGGMJON_00674,-
group_1726,OKGGMJON_00679,-
group_1727,OKGGMJON_00680,+
lacZ_1,OKGGMJON_00682,-
ftsH_1,OKGGMJON_00694,+
group_1731,OKGGMJON_00695,-
group_1732,OKGGMJON_00698,+
group_1735,OKGGMJON_00703,+
group_1736,OKGGMJON_00704,+
group_1737,OKGGMJON_00709,+
group_1738,OKGGMJON_00712,-
group_1739,OKGGMJON_00713,-
lgrB_3,OKGGMJON_03571,-
iolG_2,OKGGMJON_00719,+
pikC_1,OKGGMJON_00720,-
vraR_1,OKGGMJON_00723,-
group_1743,OKGGMJON_00724,-
allB,OKGGMJON_00727,-
group_1745,OKGGMJON_00729,-
nboR,OKGGMJON_00730,+
paoC_2,OKGGMJON_00731,-
paoB_2,OKGGMJON_00732,-
paoA_2,OKGGMJON_00733,-
group_1751,OKGGMJON_00736,+
group_1752,OKGGMJON_00737,-
group_1753,OKGGMJON_00738,-
levB,OKGGMJON_00742,-
rbsR_3,OKGGMJON_00743,-
group_1756,OKGGMJON_00745,+
sacA,OKGGMJON_00747,-
cscB,OKGGMJON_00748,+
scrK,OKGGMJON_00749,+
pucL,OKGGMJON_00759,-
group_1761,OKGGMJON_00760,-
hyi,OKGGMJON_00762,+
garR_1,OKGGMJON_00763,+
group_1764,OKGGMJON_00772,+
mftR_1,OKGGMJON_00776,+
group_1767,OKGGMJON_00777,+
group_1769,OKGGMJON_00779,-
pucA,OKGGMJON_00781,-
group_1771,OKGGMJON_00786,+
group_1772,OKGGMJON_00788,+
group_1773,OKGGMJON_00790,+
group_1774,OKGGMJON_00791,+
group_1775,OKGGMJON_00792,-
group_1776,OKGGMJON_00795,+
ogt_2,OKGGMJON_00797,-
rsgA_1,OKGGMJON_00798,-
group_1779,OKGGMJON_00802,+
group_1780,OKGGMJON_00804,-
rpoE,OKGGMJON_00813,-
group_1783,OKGGMJON_00814,+
phrB_1,OKGGMJON_00816,-
btuC_1,OKGGMJON_00822,+
fepC_2,OKGGMJON_00823,+
group_1787,OKGGMJON_00827,+
group_1788,OKGGMJON_00828,-
group_1789,OKGGMJON_00830,-
group_1790,OKGGMJON_00831,+
mmuM,OKGGMJON_00833,+
group_1792,OKGGMJON_00836,-
aidB_2,OKGGMJON_00837,+
ccr_1,OKGGMJON_00838,-
group_1795,OKGGMJON_00842,+
group_1796,OKGGMJON_00844,+
cysH,OKGGMJON_00845,+
cysC,OKGGMJON_00846,+
cbiX,OKGGMJON_00853,+
tam_3,OKGGMJON_00854,+
group_1801,OKGGMJON_00861,-
group_1802,OKGGMJON_00862,+
group_1803,OKGGMJON_00872,+
group_1804,OKGGMJON_00873,+
murC,OKGGMJON_00879,-
group_1806,OKGGMJON_00886,+
group_1807,OKGGMJON_00887,+
group_1808,OKGGMJON_00888,+
hemY,OKGGMJON_00891,-
group_1810,OKGGMJON_00897,+
group_1811,OKGGMJON_00901,+
ngcG_2,OKGGMJON_00910,-
acnA,OKGGMJON_00913,-
group_1814,OKGGMJON_00945,-
group_1816,OKGGMJON_00949,-
group_1817,OKGGMJON_00952,-
arcA_1,OKGGMJON_00954,+
group_1819,OKGGMJON_00957,-
sasA_7,OKGGMJON_04105,-
ndhB_1,OKGGMJON_00960,-
ncsB3_1,OKGGMJON_00961,-
group_1822,OKGGMJON_00963,-
group_1823,OKGGMJON_00964,-
group_1824,OKGGMJON_00966,-
group_1825,OKGGMJON_00967,+
argF,OKGGMJON_00969,-
apaH,OKGGMJON_00972,-
COQ3_1,OKGGMJON_00973,-
group_1830,OKGGMJON_00977,-
group_1831,OKGGMJON_00978,-
group_1832,OKGGMJON_00980,+
xpkA,OKGGMJON_00981,-
group_1834,OKGGMJON_00982,-
group_1835,OKGGMJON_00983,-
lutC,OKGGMJON_00984,-
group_1837,OKGGMJON_00992,+
group_1838,OKGGMJON_00993,+
group_1839,OKGGMJON_00994,-
group_184,OKGGMJON_04201,+
devS,OKGGMJON_00997,-
group_1841,OKGGMJON_00999,+
bmr3_1,OKGGMJON_01002,+
yfhA_2,OKGGMJON_01004,-
sutR_1,OKGGMJON_01009,-
nylA_1,OKGGMJON_01010,-
group_1847,OKGGMJON_01011,+
cypM,OKGGMJON_01012,-
group_1849,OKGGMJON_01013,-
metXA,OKGGMJON_01014,-
group_1851,OKGGMJON_01016,+
yagG,OKGGMJON_01018,-
group_1853,OKGGMJON_01019,+
group_1854,OKGGMJON_01020,+
group_1855,OKGGMJON_01023,-
group_1856,OKGGMJON_01025,-
group_1857,OKGGMJON_01026,-
group_1858,OKGGMJON_01027,+
group_1859,OKGGMJON_01030,-
group_186,OKGGMJON_04474,-
tet(X)_1,OKGGMJON_01040,-
group_1861,OKGGMJON_01044,+
group_1862,OKGGMJON_01047,-
ybjJ_2,OKGGMJON_01051,+
group_1864,OKGGMJON_01053,-
group_1865,OKGGMJON_01054,-
rbsC_2,OKGGMJON_01055,-
ansA,OKGGMJON_01060,+
linC_1,OKGGMJON_01062,-
group_1870,OKGGMJON_01063,-
group_1871,OKGGMJON_01065,+
group_1872,OKGGMJON_01067,+
leuB_1,OKGGMJON_01070,-
group_1874,OKGGMJON_01072,+
ytbE,OKGGMJON_01073,+
group_1876,OKGGMJON_01074,-
group_1877,OKGGMJON_01075,-
group_1878,OKGGMJON_01077,-
group_1879,OKGGMJON_01079,-
yddE,OKGGMJON_04700,-
group_1880,OKGGMJON_01080,-
group_1881,OKGGMJON_01088,+
group_1882,OKGGMJON_01091,+
fgd_3,OKGGMJON_01093,-
group_1885,OKGGMJON_01094,-
tadA_1,OKGGMJON_01097,+
lieA,OKGGMJON_01098,+
group_1888,OKGGMJON_01105,+
group_1890,OKGGMJON_00484,-
group_1891,OKGGMJON_01126,+
group_1892,OKGGMJON_01127,-
sasA_1,OKGGMJON_01129,-
tcrA,OKGGMJON_01130,-
hemH,OKGGMJON_01133,-
group_1896,OKGGMJON_01135,+
group_1897,OKGGMJON_01136,-
sseB,OKGGMJON_01138,-
group_1899,OKGGMJON_01139,+
araP_1,OKGGMJON_01153,-
group_1901,OKGGMJON_01154,-
group_1902,OKGGMJON_01156,+
mctC_1,OKGGMJON_01157,-
group_1904,OKGGMJON_01158,-
group_1905,OKGGMJON_01159,-
group_1906,OKGGMJON_01160,-
group_1907,OKGGMJON_01164,-
group_1908,OKGGMJON_01168,-
group_1909,OKGGMJON_01173,+
group_191,OKGGMJON_04729,+
group_1910,OKGGMJON_01179,-
group_1911,OKGGMJON_01180,+
iucC_1,OKGGMJON_01188,-
iucB,OKGGMJON_01189,-
iucA,OKGGMJON_01190,-
dat_1,OKGGMJON_01191,-
group_1916,OKGGMJON_01193,+
group_1917,OKGGMJON_01195,-
dapF,OKGGMJON_01197,-
miaA,OKGGMJON_01199,-
group_1920,OKGGMJON_01200,+
group_1921,OKGGMJON_01201,-
group_1922,OKGGMJON_01202,-
group_1923,OKGGMJON_01204,+
sasA_2,OKGGMJON_01205,-
glnH_2,OKGGMJON_01208,+
group_1926,OKGGMJON_01210,+
group_1927,OKGGMJON_01212,+
recX,OKGGMJON_01214,-
group_1929,OKGGMJON_01216,-
group_193,OKGGMJON_04829,+
hdfR_2,OKGGMJON_01217,+
group_1931,OKGGMJON_01218,+
dhmA,OKGGMJON_01227,-
group_1933,OKGGMJON_01228,+
nei,OKGGMJON_01231,+
group_1935,OKGGMJON_01232,-
cinA,OKGGMJON_01235,-
group_1937,OKGGMJON_01239,-
arnB,OKGGMJON_01244,-
thyX,OKGGMJON_01250,-
group_1940,OKGGMJON_01251,+
ribF,OKGGMJON_01266,-
rimP,OKGGMJON_01277,-
group_1943,OKGGMJON_01279,+
group_1944,OKGGMJON_01280,+
group_1945,OKGGMJON_01282,-
sgrR_1,OKGGMJON_01287,-
group_1947,OKGGMJON_01288,-
nanK_3,OKGGMJON_01294,-
