Gene,albidoflavus_W68,Sign
group_1065,PCKCKJGC_02747,+
group_1067,PCKCKJGC_02741,-
group_1068,PCKCKJGC_02739,+
group_1069,PCKCKJGC_02737,-
psdht,PCKCKJGC_02733,-
group_1072,PCKCKJGC_02732,-
group_1073,PCKCKJGC_02716,-
lacI,PCKCKJGC_02706,+
group_1075,PCKCKJGC_02690,-
group_1076,PCKCKJGC_02677,-
group_1077,PCKCKJGC_02676,-
group_1078,PCKCKJGC_02661,-
group_1079,PCKCKJGC_02660,+
group_1080,PCKCKJGC_02658,-
group_1081,PCKCKJGC_03384,-
group_1082,PCKCKJGC_03400,-
group_1083,PCKCKJGC_03402,-
folP1,PCKCKJGC_03427,-
stp_3,PCKCKJGC_03436,+
dap_3,PCKCKJGC_03442,-
group_1087,PCKCKJGC_03453,+
group_1088,PCKCKJGC_03457,-
group_1089,PCKCKJGC_03463,-
group_109,PCKCKJGC_00196,+
group_1090,PCKCKJGC_03469,+
group_1091,PCKCKJGC_03470,+
argA,PCKCKJGC_03471,+
group_1093,PCKCKJGC_03473,-
group_1094,PCKCKJGC_03475,-
group_1095,PCKCKJGC_03496,-
group_1096,PCKCKJGC_03499,-
group_1098,PCKCKJGC_03500,+
rbbA,PCKCKJGC_03501,+
ybjJ_3,PCKCKJGC_03509,+
group_1101,PCKCKJGC_03530,+
group_1102,PCKCKJGC_03542,-
resA_2,PCKCKJGC_03554,+
group_1104,PCKCKJGC_03572,-
group_1105,PCKCKJGC_03594,-
group_1106,PCKCKJGC_03595,-
group_1112,PCKCKJGC_03605,+
group_1115,PCKCKJGC_03627,+
recQ,PCKCKJGC_03632,+
cof,PCKCKJGC_03636,+
hepT,PCKCKJGC_03641,+
group_1120,PCKCKJGC_03642,+
hxlR,PCKCKJGC_03648,+
ndhJ,PCKCKJGC_03655,+
htpX_2,PCKCKJGC_03689,-
group_1125,PCKCKJGC_03691,-
rspR_3,PCKCKJGC_03702,-
nnr,PCKCKJGC_03751,+
rimI,PCKCKJGC_03770,+
pknD_9,PCKCKJGC_03793,+
rppH_2,PCKCKJGC_03803,-
group_1137,PCKCKJGC_03823,-
group_1138,PCKCKJGC_03834,-
group_1139,PCKCKJGC_03839,+
group_1140,PCKCKJGC_03846,-
group_1141,PCKCKJGC_03849,-
group_1144,PCKCKJGC_03854,+
group_1145,PCKCKJGC_03859,+
group_1146,PCKCKJGC_03876,-
gabR_2,PCKCKJGC_03877,+
group_1148,PCKCKJGC_03901,+
group_1150,PCKCKJGC_03903,-
group_1151,PCKCKJGC_03919,+
group_1152,PCKCKJGC_03921,-
group_1153,PCKCKJGC_03928,+
group_1154,PCKCKJGC_03936,+
cdd,PCKCKJGC_03941,+
group_1156,PCKCKJGC_03943,+
group_1157,PCKCKJGC_03961,-
group_1158,PCKCKJGC_03962,-
group_1159,PCKCKJGC_03963,+
pimB_1,PCKCKJGC_00468,+
group_1160,PCKCKJGC_03964,+
drrB_3,PCKCKJGC_04007,+
group_1162,PCKCKJGC_04012,-
group_1163,PCKCKJGC_04016,+
group_1164,PCKCKJGC_04019,+
group_1165,PCKCKJGC_04020,-
group_1166,PCKCKJGC_04044,+
group_1167,PCKCKJGC_04053,-
ydhP_3,PCKCKJGC_04055,+
group_1169,PCKCKJGC_04057,-
group_1170,PCKCKJGC_04058,+
group_1171,PCKCKJGC_04059,-
group_1172,PCKCKJGC_04072,-
group_1180,PCKCKJGC_04119,+
group_1181,PCKCKJGC_04122,-
mftR_2,PCKCKJGC_04136,-
group_1188,PCKCKJGC_04156,-
nagZ_3,PCKCKJGC_04165,-
hcrA,PCKCKJGC_00513,+
recD2_1,PCKCKJGC_04166,+
group_1192,PCKCKJGC_04177,+
group_1193,PCKCKJGC_04187,-
group_1194,PCKCKJGC_04188,+
group_1195,PCKCKJGC_04203,-
group_1196,PCKCKJGC_04207,+
group_1197,PCKCKJGC_04211,-
group_1198,PCKCKJGC_04216,-
group_1199,PCKCKJGC_04218,-
pknG,PCKCKJGC_04219,-
group_1201,PCKCKJGC_04237,+
group_1202,PCKCKJGC_04240,+
group_1203,PCKCKJGC_04249,+
group_1204,PCKCKJGC_04280,+
group_1206,PCKCKJGC_04282,+
rne,PCKCKJGC_04284,+
group_1208,PCKCKJGC_04295,+
group_1209,PCKCKJGC_04307,-
group_121,PCKCKJGC_00577,+
group_1210,PCKCKJGC_04312,+
nat_2,PCKCKJGC_04314,+
tri1_2,PCKCKJGC_04329,+
pknD_11,PCKCKJGC_04345,-
group_1214,PCKCKJGC_04363,+
gvpA_1,PCKCKJGC_04366,+
group_1217,PCKCKJGC_04369,+
group_1218,PCKCKJGC_04372,+
group_1220,PCKCKJGC_04383,-
group_1221,PCKCKJGC_04385,+
dcuS_2,PCKCKJGC_04419,+
group_1223,PCKCKJGC_04424,-
fabF,PCKCKJGC_04454,-
group_1226,PCKCKJGC_04460,-
yfeW_3,PCKCKJGC_04461,-
group_1228,PCKCKJGC_04462,+
group_1229,PCKCKJGC_04465,-
group_123,PCKCKJGC_00658,-
group_1230,PCKCKJGC_04493,+
group_1231,PCKCKJGC_04497,-
group_1232,PCKCKJGC_04500,+
group_1233,PCKCKJGC_04505,-
group_1234,PCKCKJGC_04511,-
group_1235,PCKCKJGC_04512,-
group_1236,PCKCKJGC_04516,+
group_1238,PCKCKJGC_04524,+
yjhP_2,PCKCKJGC_04538,-
iolU,PCKCKJGC_04544,-
bcr,PCKCKJGC_04545,+
group_1242,PCKCKJGC_04569,-
group_1243,PCKCKJGC_04574,+
group_1244,PCKCKJGC_04577,-
glnE,PCKCKJGC_04578,+
group_1248,PCKCKJGC_04581,+
group_1249,PCKCKJGC_04607,+
cobN,PCKCKJGC_04612,-
cobL,PCKCKJGC_04618,-
group_1253,PCKCKJGC_04623,-
arpA,PCKCKJGC_04627,+
group_1255,PCKCKJGC_04630,+
ywnH,PCKCKJGC_04636,-
group_1257,PCKCKJGC_04643,-
group_1258,PCKCKJGC_04666,-
csd_2,PCKCKJGC_04681,+
group_1260,PCKCKJGC_04686,-
group_1261,PCKCKJGC_04700,+
group_1264,PCKCKJGC_04731,-
group_1265,PCKCKJGC_04754,+
pknD_12,PCKCKJGC_04757,-
dnaE1,PCKCKJGC_04761,+
hisC_1,PCKCKJGC_04772,+
group_1270,PCKCKJGC_04777,+
group_1271,PCKCKJGC_04820,-
yokD,PCKCKJGC_04823,-
group_1273,PCKCKJGC_04851,+
uvrC,PCKCKJGC_04862,+
group_1275,PCKCKJGC_04864,+
egtE,PCKCKJGC_04903,+
group_1278,PCKCKJGC_04933,-
group_1279,PCKCKJGC_04951,-
ctaD_1,PCKCKJGC_00719,-
group_1280,PCKCKJGC_04963,+
queA,PCKCKJGC_04969,-
recN,PCKCKJGC_04993,+
group_1285,PCKCKJGC_04994,+
scpA,PCKCKJGC_05006,+
group_1287,PCKCKJGC_05012,-
group_1288,PCKCKJGC_05020,+
group_1289,PCKCKJGC_05025,-
group_1290,PCKCKJGC_05036,+
group_1291,PCKCKJGC_05038,+
mshD_4,PCKCKJGC_05047,-
group_1293,PCKCKJGC_05053,+
group_1294,PCKCKJGC_05054,+
group_1295,PCKCKJGC_05061,-
pknD_13,PCKCKJGC_05063,-
group_1297,PCKCKJGC_05068,+
tdh,PCKCKJGC_05070,+
group_130,PCKCKJGC_00895,-
aqdR,PCKCKJGC_05079,-
degA_3,PCKCKJGC_05136,-
helY,PCKCKJGC_05148,+
ncsB3_5,PCKCKJGC_05154,+
group_1306,PCKCKJGC_05174,+
group_1307,PCKCKJGC_05189,+
group_1308,PCKCKJGC_05190,+
group_1309,PCKCKJGC_05191,-
group_1310,PCKCKJGC_05192,+
group_1311,PCKCKJGC_05228,+
group_1312,PCKCKJGC_05238,-
group_1313,PCKCKJGC_05253,+
group_1314,PCKCKJGC_05264,+
group_1315,PCKCKJGC_05271,-
menF_2,PCKCKJGC_05282,+
group_1317,PCKCKJGC_05292,+
group_1318,PCKCKJGC_05354,+
group_1319,PCKCKJGC_05358,-
group_1320,PCKCKJGC_05360,+
group_1321,PCKCKJGC_05361,+
group_1322,PCKCKJGC_05367,-
gltC_3,PCKCKJGC_05368,-
group_1324,PCKCKJGC_05369,+
group_1325,PCKCKJGC_05374,-
hisC_2,PCKCKJGC_05398,+
group_1328,PCKCKJGC_05408,+
ptsJ,PCKCKJGC_05451,+
treC,PCKCKJGC_01099,-
petC,PCKCKJGC_05460,-
group_1331,PCKCKJGC_05461,+
group_1333,PCKCKJGC_05474,-
group_1335,PCKCKJGC_05488,-
group_1337,PCKCKJGC_05498,-
sigW,PCKCKJGC_05499,-
group_1339,PCKCKJGC_05507,-
group_134,PCKCKJGC_01420,-
phoD_2,PCKCKJGC_05511,-
mug,PCKCKJGC_05518,-
purB,PCKCKJGC_05519,-
group_1345,PCKCKJGC_05528,+
bioA,PCKCKJGC_05530,-
clpP2_3,PCKCKJGC_05537,-
group_1348,PCKCKJGC_05538,+
ureD_2,PCKCKJGC_05544,+
sttH,PCKCKJGC_05550,+
cdhR_6,PCKCKJGC_05551,+
dasA_4,PCKCKJGC_05581,+
group_1354,PCKCKJGC_05590,-
group_1355,PCKCKJGC_05597,+
gndA,PCKCKJGC_05615,-
group_1358,PCKCKJGC_05624,+
group_136,PCKCKJGC_01619,+
dasA_5,PCKCKJGC_05646,+
group_1361,PCKCKJGC_05651,+
lin,PCKCKJGC_05659,-
group_1364,PCKCKJGC_05660,-
crtB_2,PCKCKJGC_05665,+
group_1366,PCKCKJGC_05666,+
group_1368,PCKCKJGC_05680,-
group_1369,PCKCKJGC_05686,+
group_1370,PCKCKJGC_05687,+
group_1371,PCKCKJGC_05688,+
group_1374,PCKCKJGC_05693,-
vgb,PCKCKJGC_05701,+
group_1376,PCKCKJGC_05754,+
fpuB_2,PCKCKJGC_05758,+
group_1379,PCKCKJGC_05760,+
group_138,PCKCKJGC_01622,+
group_1380,PCKCKJGC_05761,+
group_1381,PCKCKJGC_05764,+
yheH,PCKCKJGC_05766,+
def_3,PCKCKJGC_05772,+
group_1384,PCKCKJGC_05774,+
otnK,PCKCKJGC_05776,+
group_1386,PCKCKJGC_05787,-
group_1387,PCKCKJGC_05789,-
group_1389,PCKCKJGC_05800,+
oppF_2,PCKCKJGC_05806,+
group_1391,PCKCKJGC_05810,-
group_1392,PCKCKJGC_05811,-
group_1395,PCKCKJGC_05814,+
group_1396,PCKCKJGC_05815,-
group_1397,PCKCKJGC_05817,-
group_1398,PCKCKJGC_05827,+
group_1399,PCKCKJGC_05830,+
group_140,PCKCKJGC_01631,-
per,PCKCKJGC_05847,-
group_1402,PCKCKJGC_05850,+
argP,PCKCKJGC_05894,+
group_142,PCKCKJGC_01958,-
ndhI_2,PCKCKJGC_03657,+
group_1431,PCKCKJGC_00239,-
aceE_1,PCKCKJGC_00943,-
group_1437,PCKCKJGC_01170,-
ureC_1,PCKCKJGC_01375,-
group_1439,PCKCKJGC_01687,-
lpqB,PCKCKJGC_01986,-
group_1440,PCKCKJGC_01972,-
group_1441,PCKCKJGC_02139,-
group_1443,PCKCKJGC_02386,-
group_1444,PCKCKJGC_02482,+
group_1445,PCKCKJGC_02585,+
group_1446,PCKCKJGC_02960,-
group_1447,PCKCKJGC_02778,+
group_1449,PCKCKJGC_03836,-
spk1,PCKCKJGC_04716,-
pknD_14,PCKCKJGC_05273,-
group_147,PCKCKJGC_01992,+
group_151,PCKCKJGC_02160,-
group_1519,PCKCKJGC_00197,-
group_152,PCKCKJGC_02308,+
fruA,PCKCKJGC_00200,+
group_1523,PCKCKJGC_00206,+
group_1524,PCKCKJGC_00208,-
rpmF_1,PCKCKJGC_00210,+
tam_1,PCKCKJGC_00211,-
group_1528,PCKCKJGC_00212,-
group_1529,PCKCKJGC_00213,+
group_1530,PCKCKJGC_00214,+
group_1531,PCKCKJGC_00215,+
bdhA,PCKCKJGC_00219,-
lnt_1,PCKCKJGC_00221,-
deaD_1,PCKCKJGC_00222,-
group_1535,PCKCKJGC_00223,-
murI,PCKCKJGC_00224,-
group_1537,PCKCKJGC_00227,+
group_1538,PCKCKJGC_00231,-
group_1539,PCKCKJGC_00233,-
eno_2,PCKCKJGC_02310,+
group_1540,PCKCKJGC_00234,+
group_1541,PCKCKJGC_00235,+
ybjJ_1,PCKCKJGC_00238,+
group_1543,PCKCKJGC_00242,-
argE,PCKCKJGC_00243,+
tdcB_1,PCKCKJGC_00244,-
group_1546,PCKCKJGC_00245,-
nanK_2,PCKCKJGC_00246,-
rutF,PCKCKJGC_00251,-
group_1549,PCKCKJGC_00252,-
group_1550,PCKCKJGC_00259,-
group_1551,PCKCKJGC_00260,+
group_1552,PCKCKJGC_00262,-
group_1553,PCKCKJGC_00265,+
gph_1,PCKCKJGC_00266,+
group_1556,PCKCKJGC_00267,-
group_1557,PCKCKJGC_00269,+
uacT,PCKCKJGC_00270,+
group_1559,PCKCKJGC_00271,-
group_156,PCKCKJGC_02377,-
group_1561,PCKCKJGC_00274,+
ctpI,PCKCKJGC_00283,+
hspA,PCKCKJGC_00284,+
ydeP,PCKCKJGC_00287,+
group_1566,PCKCKJGC_00289,-
group_1567,PCKCKJGC_00290,+
group_1568,PCKCKJGC_00291,-
hxpB,PCKCKJGC_00293,+
group_1570,PCKCKJGC_00294,-
csbC,PCKCKJGC_00297,+
bamB_1,PCKCKJGC_00299,-
group_1573,PCKCKJGC_00301,-
group_1574,PCKCKJGC_00303,+
ngcG_1,PCKCKJGC_00306,-
melD,PCKCKJGC_00307,-
group_1577,PCKCKJGC_00308,-
cytR_1,PCKCKJGC_00309,+
ssuC_1,PCKCKJGC_00314,+
btuD_12,PCKCKJGC_02432,-
group_1581,PCKCKJGC_00320,-
group_1582,PCKCKJGC_00324,-
group_1583,PCKCKJGC_00327,-
group_1584,PCKCKJGC_00334,-
group_1585,PCKCKJGC_00336,-
group_1586,PCKCKJGC_00337,+
group_1587,PCKCKJGC_00338,+
group_1588,PCKCKJGC_00340,-
rapA,PCKCKJGC_00341,+
group_1590,PCKCKJGC_00343,+
group_1593,PCKCKJGC_00347,-
group_1594,PCKCKJGC_00348,+
mycG_1,PCKCKJGC_00349,-
group_1596,PCKCKJGC_00355,+
sprA,PCKCKJGC_00359,-
group_1598,PCKCKJGC_00361,-
group_1599,PCKCKJGC_00362,+
abaF_2,PCKCKJGC_00365,-
benM,PCKCKJGC_00367,-
group_1602,PCKCKJGC_00373,+
group_1603,PCKCKJGC_00376,+
group_1604,PCKCKJGC_00377,+
uctC_1,PCKCKJGC_00378,+
group_1606,PCKCKJGC_00385,-
group_1607,PCKCKJGC_00386,-
group_1608,PCKCKJGC_00387,+
group_1609,PCKCKJGC_00390,+
group_1610,PCKCKJGC_00391,+
fas2,PCKCKJGC_00393,+
group_1612,PCKCKJGC_00395,-
group_1613,PCKCKJGC_00397,-
group_1614,PCKCKJGC_00398,+
group_1615,PCKCKJGC_00404,+
group_1616,PCKCKJGC_00405,-
group_1618,PCKCKJGC_00407,-
group_1619,PCKCKJGC_00408,-
group_162,PCKCKJGC_03228,-
group_1620,PCKCKJGC_00410,-
group_1621,PCKCKJGC_00411,-
group_1622,PCKCKJGC_00414,-
group_1623,PCKCKJGC_00416,-
hpnE,PCKCKJGC_00418,-
group_1625,PCKCKJGC_00424,-
group_1626,PCKCKJGC_00427,-
idi,PCKCKJGC_00429,+
group_1628,PCKCKJGC_00430,-
ettA_1,PCKCKJGC_00439,-
viaA,PCKCKJGC_00443,-
ravA,PCKCKJGC_00444,-
aao,PCKCKJGC_00445,+
betP_1,PCKCKJGC_00446,-
group_1635,PCKCKJGC_00447,+
nfi,PCKCKJGC_00453,-
group_1638,PCKCKJGC_00457,-
group_1639,PCKCKJGC_00458,+
stp_2,PCKCKJGC_02825,-
secDF,PCKCKJGC_00459,+
yheS_1,PCKCKJGC_00461,+
desA1,PCKCKJGC_00462,+
rbsR_2,PCKCKJGC_00470,-
caiD_2,PCKCKJGC_00479,-
group_1647,PCKCKJGC_00481,+
group_1648,PCKCKJGC_00482,-
group_1649,PCKCKJGC_00483,+
group_1650,PCKCKJGC_00493,+
lagD,PCKCKJGC_00496,+
aruI,PCKCKJGC_00503,-
bacC,PCKCKJGC_00504,-
ped,PCKCKJGC_00505,-
catD_1,PCKCKJGC_00507,-
group_1656,PCKCKJGC_00511,+
coxS,PCKCKJGC_00512,+
group_1658,PCKCKJGC_00516,+
rbsD,PCKCKJGC_00517,-
rbsK_1,PCKCKJGC_00518,-
group_1661,PCKCKJGC_00526,+
group_1662,PCKCKJGC_00533,-
group_1663,PCKCKJGC_00534,-
group_1664,PCKCKJGC_00535,-
group_1665,PCKCKJGC_00544,-
yhjX,PCKCKJGC_00545,-
group_1667,PCKCKJGC_00547,-
hdfR_1,PCKCKJGC_00548,+
group_1669,PCKCKJGC_00550,+
group_167,PCKCKJGC_03755,-
tam_2,PCKCKJGC_00552,-
COQ5_2,PCKCKJGC_00553,-
group_1672,PCKCKJGC_00555,-
group_1673,PCKCKJGC_00556,+
group_1674,PCKCKJGC_00557,+
narY,PCKCKJGC_00560,+
narX,PCKCKJGC_00562,+
group_1677,PCKCKJGC_00567,-
group_1678,PCKCKJGC_00568,+
group_1679,PCKCKJGC_00569,+
group_168,PCKCKJGC_02721,+
yhbO,PCKCKJGC_00573,+
group_1682,PCKCKJGC_00574,-
yegS_1,PCKCKJGC_00575,+
COQ5_3,PCKCKJGC_00576,+
betI_1,PCKCKJGC_00579,+
group_1686,PCKCKJGC_00582,-
rimJ_1,PCKCKJGC_00583,-
group_1688,PCKCKJGC_00584,-
group_1689,PCKCKJGC_00585,-
ykfA,PCKCKJGC_00586,-
group_1691,PCKCKJGC_00587,-
dapE_1,PCKCKJGC_00588,-
mdtD_2,PCKCKJGC_00590,-
group_1694,PCKCKJGC_00592,+
tap_1,PCKCKJGC_00597,+
nimR_1,PCKCKJGC_00599,+
group_1697,PCKCKJGC_00600,+
yfhA_1,PCKCKJGC_00602,+
yusV,PCKCKJGC_00603,+
group_170,PCKCKJGC_02696,-
group_1700,PCKCKJGC_00605,+
garK_1,PCKCKJGC_00613,-
cobB_1,PCKCKJGC_00616,+
group_1703,PCKCKJGC_00618,-
group_1704,PCKCKJGC_00619,+
btuD_3,PCKCKJGC_00620,+
group_1706,PCKCKJGC_00621,+
ytrA_1,PCKCKJGC_00622,+
alkA,PCKCKJGC_00624,-
trpA_1,PCKCKJGC_00625,+
group_1711,PCKCKJGC_00627,-
ymdB,PCKCKJGC_00628,-
thi4,PCKCKJGC_00629,-
ywrD,PCKCKJGC_00632,-
fgd_1,PCKCKJGC_00635,-
group_1716,PCKCKJGC_00641,+
group_1717,PCKCKJGC_00645,-
group_1718,PCKCKJGC_00646,+
group_1719,PCKCKJGC_00648,-
group_172,PCKCKJGC_02694,-
glnH_1,PCKCKJGC_00650,-
group_1721,PCKCKJGC_00652,-
group_1722,PCKCKJGC_00653,+
xthA,PCKCKJGC_00654,-
group_1724,PCKCKJGC_00656,-
group_1726,PCKCKJGC_00660,-
group_1727,PCKCKJGC_00661,+
lacZ_1,PCKCKJGC_00663,-
ftsH_1,PCKCKJGC_00672,+
group_1731,PCKCKJGC_00673,-
group_1732,PCKCKJGC_00676,+
group_1735,PCKCKJGC_00682,+
group_1736,PCKCKJGC_00683,+
group_1737,PCKCKJGC_00688,+
group_1738,PCKCKJGC_00691,-
group_1739,PCKCKJGC_00692,-
lgrB_3,PCKCKJGC_03441,-
iolG_2,PCKCKJGC_00698,+
pikC_1,PCKCKJGC_00699,-
vraR_1,PCKCKJGC_00702,-
group_1743,PCKCKJGC_00703,-
allB,PCKCKJGC_00706,-
group_1745,PCKCKJGC_00708,-
nboR,PCKCKJGC_00709,+
paoC_2,PCKCKJGC_00710,-
paoB_2,PCKCKJGC_00711,-
paoA_2,PCKCKJGC_00712,-
group_1751,PCKCKJGC_00715,+
group_1752,PCKCKJGC_00716,-
group_1753,PCKCKJGC_00717,-
levB,PCKCKJGC_00720,-
rbsR_3,PCKCKJGC_00721,-
group_1756,PCKCKJGC_00723,+
sacA,PCKCKJGC_00726,-
cscB,PCKCKJGC_00727,+
scrK,PCKCKJGC_00728,+
pucL,PCKCKJGC_00739,-
group_1761,PCKCKJGC_00740,-
hyi,PCKCKJGC_00742,+
garR_1,PCKCKJGC_00743,+
group_1764,PCKCKJGC_00751,+
mftR_1,PCKCKJGC_00756,+
group_1767,PCKCKJGC_00757,+
group_1769,PCKCKJGC_00759,-
pucA,PCKCKJGC_00761,-
group_1771,PCKCKJGC_00766,+
group_1772,PCKCKJGC_00768,+
group_1773,PCKCKJGC_00770,+
group_1774,PCKCKJGC_00771,+
group_1775,PCKCKJGC_00773,-
group_1776,PCKCKJGC_00776,+
ogt_2,PCKCKJGC_00778,-
rsgA_1,PCKCKJGC_00779,-
group_1779,PCKCKJGC_00783,+
group_1780,PCKCKJGC_00785,-
rpoE,PCKCKJGC_00792,-
group_1783,PCKCKJGC_00793,+
phrB_1,PCKCKJGC_00795,-
btuC_1,PCKCKJGC_00800,+
fepC_2,PCKCKJGC_00801,+
group_1787,PCKCKJGC_00806,+
group_1788,PCKCKJGC_00807,-
group_1789,PCKCKJGC_00810,-
group_1790,PCKCKJGC_00811,+
mmuM,PCKCKJGC_00813,+
group_1792,PCKCKJGC_00816,-
aidB_2,PCKCKJGC_00817,+
ccr_1,PCKCKJGC_00818,-
group_1795,PCKCKJGC_00822,+
group_1796,PCKCKJGC_00824,+
cysH,PCKCKJGC_00825,+
cysC,PCKCKJGC_00826,+
cbiX,PCKCKJGC_00833,+
tam_3,PCKCKJGC_00834,+
group_1801,PCKCKJGC_00842,-
group_1802,PCKCKJGC_00843,+
group_1803,PCKCKJGC_00853,+
group_1804,PCKCKJGC_00854,+
murC,PCKCKJGC_00860,-
group_1806,PCKCKJGC_00867,+
group_1807,PCKCKJGC_00868,+
group_1808,PCKCKJGC_00869,+
hemY,PCKCKJGC_00872,-
group_1810,PCKCKJGC_00877,+
group_1811,PCKCKJGC_00881,+
ngcG_2,PCKCKJGC_00890,-
acnA,PCKCKJGC_00893,-
group_1814,PCKCKJGC_00900,-
group_1816,PCKCKJGC_00904,-
group_1817,PCKCKJGC_00906,-
arcA_1,PCKCKJGC_00908,+
group_1819,PCKCKJGC_00911,-
sasA_7,PCKCKJGC_03956,-
ndhB_1,PCKCKJGC_00914,-
ncsB3_1,PCKCKJGC_00915,-
group_1822,PCKCKJGC_00917,-
group_1823,PCKCKJGC_00918,-
group_1824,PCKCKJGC_00920,-
group_1825,PCKCKJGC_00921,+
argF,PCKCKJGC_00923,-
apaH,PCKCKJGC_00926,-
COQ3_1,PCKCKJGC_00927,-
group_1830,PCKCKJGC_00931,-
group_1831,PCKCKJGC_00932,-
group_1832,PCKCKJGC_00934,+
xpkA,PCKCKJGC_00935,-
group_1834,PCKCKJGC_00936,-
group_1835,PCKCKJGC_00937,-
lutC,PCKCKJGC_00938,-
group_1837,PCKCKJGC_00945,+
group_1838,PCKCKJGC_00946,+
group_1839,PCKCKJGC_00947,-
group_184,PCKCKJGC_04051,+
devS,PCKCKJGC_00950,-
group_1841,PCKCKJGC_00952,+
bmr3_1,PCKCKJGC_00955,+
yfhA_2,PCKCKJGC_00957,-
sutR_1,PCKCKJGC_00962,-
nylA_1,PCKCKJGC_00963,-
group_1847,PCKCKJGC_00964,+
cypM,PCKCKJGC_00965,-
group_1849,PCKCKJGC_00966,-
metXA,PCKCKJGC_00967,-
group_1851,PCKCKJGC_00969,+
yagG,PCKCKJGC_00971,-
group_1853,PCKCKJGC_00972,+
group_1854,PCKCKJGC_00973,+
group_1855,PCKCKJGC_00975,-
group_1856,PCKCKJGC_00977,-
group_1857,PCKCKJGC_00978,-
group_1858,PCKCKJGC_00979,+
group_1859,PCKCKJGC_00982,-
group_186,PCKCKJGC_04313,-
tet(X)_1,PCKCKJGC_00991,-
group_1861,PCKCKJGC_00994,+
group_1862,PCKCKJGC_00996,-
ybjJ_2,PCKCKJGC_01000,+
group_1864,PCKCKJGC_01002,-
group_1865,PCKCKJGC_01003,-
rbsC_2,PCKCKJGC_01004,-
ansA,PCKCKJGC_01008,+
linC_1,PCKCKJGC_01010,-
group_1870,PCKCKJGC_01011,-
group_1871,PCKCKJGC_01012,+
group_1872,PCKCKJGC_01014,+
leuB_1,PCKCKJGC_01017,-
group_1874,PCKCKJGC_01019,+
ytbE,PCKCKJGC_01020,+
group_1876,PCKCKJGC_01021,-
group_1877,PCKCKJGC_01022,-
group_1878,PCKCKJGC_01024,-
group_1879,PCKCKJGC_01026,-
yddE,PCKCKJGC_04539,-
group_1880,PCKCKJGC_01027,-
group_1881,PCKCKJGC_01034,+
group_1882,PCKCKJGC_01037,+
fgd_3,PCKCKJGC_01039,-
group_1885,PCKCKJGC_01040,-
tadA_1,PCKCKJGC_01043,+
lieA,PCKCKJGC_01044,+
group_1888,PCKCKJGC_01050,+
group_1890,PCKCKJGC_00465,-
group_1891,PCKCKJGC_01075,+
group_1892,PCKCKJGC_01076,-
sasA_1,PCKCKJGC_01078,-
tcrA,PCKCKJGC_01079,-
hemH,PCKCKJGC_01082,-
group_1896,PCKCKJGC_01084,+
group_1897,PCKCKJGC_01085,-
sseB,PCKCKJGC_01087,-
group_1899,PCKCKJGC_01088,+
araP_1,PCKCKJGC_01101,-
group_1901,PCKCKJGC_01102,-
group_1902,PCKCKJGC_01104,+
mctC_1,PCKCKJGC_01105,-
group_1904,PCKCKJGC_01106,-
group_1905,PCKCKJGC_01107,-
group_1906,PCKCKJGC_01108,-
group_1907,PCKCKJGC_01111,-
group_1908,PCKCKJGC_01115,-
group_1909,PCKCKJGC_01119,+
